id_instituicao,id_autor,INÍCIO,FIM,FUNCAO
3,292,2010,2012,Professor Assistente
3,292,2013,,Professor Associado
3,292,2018,,Coordenador de curso
4,376,2011,2013,Professor Temporário
4,252,2014,2018,Técnico de Tecnologia da Informação
5,206,2012,2012,Monitoria em Redes de Computadores I e II
5,206,2012,2012,Monitoria em Banco de Dados I e II
6,66,2011,,Professor Horista
8,28,2003,2006,Professor
8,28,2010,2011,Professor Adjunto
8,48,2003,2005,Monitoria e Tutoria
9,274,2012,2015,Presidente do C.A. de Sstemas de Informação
10,107,1999,1999,Administrador de Redes Junior
14,428,1991,2001,Professor
15,306,2006,2011,Auxiliar em assuntos de informatica
18,220,2016,,Pesquisador
19,239,2010,2011,Desenvolvedor
19,239,2014,2017,BOLSISTA DE PESQUISA
19,239,2017,,Professor de Ensino Básico
19,243,2011,2012,
19,211,2012,2014,"Professor do Ensino Básico, Téc. e Tecnológic"
19,211,2014,,Professor de Ensino Básico Téc. e Tecnológico
19,211,2016,2017,Coordenador de Curso Técnico
19,54,2010,,Professor EBTT
19,239,2013,,Técnico em Tecnologia da Informação
19,107,2015,2015,Professor
19,190,2015,2015,Professor substituto
19,243,2013,2014,Técnico em análise de T.I
20,181,2014,,ANALISTA DE TECNOLOGIA DA INFORMAÇÃO
20,181,2016,2016,PROFESSOR DE CURSO TÉCNICO - PRONATEC
20,291,2016,2017,Docente Substituto
20,225,2017,2017,Professor substituto
20,231,2015,,"Professor Ens. Básico, Técnico e Tecnológico"
20,266,2010,2010,Aluno
20,300,2015,,Técnico Adminstrativo em Edutação
20,319,2015,2016,Estágiario
20,319,2016,,Estágiario
22,158,2010,2018,Coordenador de Curso
22,158,1996,,Professor de Ensino Superior
22,158,2004,2009,Coordenador Centro Pesquisas em Informática
22,158,2018,,Vice-Diretor Acadêmico
24,211,2000,2001,
24,211,2004,2006,Bolsista
26,91,2006,2008,Bolsista
26,28,1999,2001,Professor Auxiliar
26,53,2001,2004,Estágio
26,53,2005,2006,Pesquisa e Desenvolvimento
26,225,2010,2012,Pesquisador
26,225,2012,2014,Desenvolvedor de Sistemas
26,139,1974,,
26,139,2000,,
26,232,2019,,Professor
26,81,2006,,Bolsista
26,123,2008,2008,Professor horista
26,225,2006,2007,Estagiário
28,190,2008,2008,Temporário
29,28,2004,2004,
29,315,2014,2015,Professor de PHP
29,315,2017,,Estudante/Pesquisador
30,107,2010,2011,Part-time Visiting Graduate Student
30,169,2016,2016,Teaching Assistant
31,229,2015,2018,Bolsista de doutorado - CNPq
32,28,1993,1995,Monitor
32,28,1995,1995,Bolsista de Iniciação Científica
32,76,1998,2004,Auxiliar de Ensino
32,76,2006,2007,Bolsista CNPq
32,21,2000,2002,Estagiário
32,21,2002,2003,Voluntário
32,21,2004,2005,Iniciação Científica
33,28,1997,1999,Professor Horista
33,28,2001,2006,Assistente
33,369,2010,2011,Desenvolvedor de Software
33,369,2016,2017,Desenvolvedor de Software Sênior
33,369,2016,2017,Professor do Ensino Superior
34,91,2019,,Analista de TI
35,119,2001,2004,
35,119,1997,2001,Professor horista
