ID,,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
28,, G. Sistemas &amp,2014,,
119,, Knowledge Engineering,2007,2007,
202,, P Informática,2009,2010,Programador ASP
89,,(FACEPE) Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2012,,
5,,1º Centro de Telemática de Área,2001,,Analista de Suporte
91,,1ºCentro de Telamática de Área,2007,2011,Oficial da Área de Informática
428,,2º Batalhão de Caçadores,1982,1983,Aluno do NPOR
428,,37º Batalhão de Infantaria Motorizado,1984,1990,Oficial do Exército
76,,ABDEM Colégio Santa Margarida,1994,2006,Professor de 2º Grau
169,,Accenture,2012,2013,Programmer
50,,ACM COMPUTING SURVEYS,2020,,
123,,ACM Computing Surveys,2016,2016,
43,,ACM Transactions on Knowledge Discovery from Data,2020,,
107,,"ACM Transactions on Multimedia Computing, Communications, and Applications",2020,,
373,,Adept Desenvolvimento e Comercialização de Softwares,2006,2010,Programador
27,,ADP Brasil LTDA,2005,,Analista de Sistemas Senior
206,,Agência Executiva de Gestão das Águas do Estado da PB,2016,,Gerente de Tecnologia da Informação
321,,Agência Nacional de Vigilância Sanitária,2003,2003,participante do GT de resíduos de medicamento
394,,Agromanager Sistemas,2019,,Programador Júnior
7,,Agrosoft,2001,2001,CIEE
129,,Alexandre Tagliari Lazzaretti e Cia Ltda,2000,2008,Analista/Programador
7,,All Print Produções Gráficas,1998,1999,Estágio  CIEE
188,,ALTA Capital - Investimentos estratégicos,2018,,Desenvolvedor de Software
321,,Ambiativa Consultoria Ambiental Ltda,2014,2015,Consultor Técnico
20,,Anais da Mostra Integrada de Iniciação Científica,2015,,
312,,Animati - Computação Aplicada a Saúde,2017,,Analista de Sistemas
376,,Applied Computing and Informatics,2014,2014,
43,,APPLIED INTELLIGENCE (DORDRECHT. ONLINE),2016,,
43,,Apply Solutions,2000,2004,-
139,,Ass. Bras. de Pesquisadores de Comunicação Org. e de Relações Públicas,2016,2018,Temporário
139,,Ass. Bras. de Pesquisadores de Comunicação Org. e de Relações Públicas,2018,,Temporário
76,,ASSOC PROPR IMOVEIS DE PELOTAS,1997,2001,PROGRAMADOR E ANALISTA
369,,Associacão Brasileira de Criadores de Ovinos,2007,2010,Auxiliar Administrativo
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2000,,Sócio
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2009,2011,Membro do Conselho Fiscal
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2011,2015,Membro da Diretoria - Conselho Fiscal
321,,Associação Brasileira de Engenharia Sanitária e Ambiental,2013,2015,Membro do Conselho Consultivo
