id,titulo,tipo_id,edicao_id,fonte
1,Árvore TM: Melhorando Árvores Métricas Agrupando Melhor os Objetos,,1,manual
2,Ferramenta para estimativa de Recall/Precision usando amostras do Banco de Dados,,1,manual
3,Suporte a argumentos de consulta vagos através da XPath,,1,manual
4,Data Warehouse voltado ao Monitoramento de Processos de Desenvolvimento de Software através de Métricas,,1,manual
5,Pré-Processamento de Dados para Descoberta de Conhecimento em Processos de Workflow Modelados sobre Plataforma Oracle,,1,manual
6,Comportamento Ativo em Web services,,1,manual
7,Arquiteturas para Coordenação de Banco de Dados num Ambiente de Rede Peer-to-Peer (P2P),,1,manual
8,Evolução de Esquemas e Documentos XML no Oracle XML DB,,1,manual
9,Um middleware para replicação entre bancos de dados usando sistemas de comunicação de grupo,,1,manual
10,Carla: uma técnica para comparação de cadeias de caracteres,,1,manual
11,Obtenção de Metadados de Objetos de Aprendizagem no AdaptWeb(r),,1,manual
12,Identificação de Áreas de Interesse a partir da Extração de Informações de Currículos Lattes/XML,,1,manual
13,DB Guardian - Sistema para Diagnóstico de Desempenho em Banco de Dados,,1,manual
14,Decomposição de Consultas sobre Múltiplas Fontes XML,,1,manual
15,Estudo Sobre a Viabilidade de Implementação de Aspectos Temporais em SGBDs Livres (open-source),,1,manual
16,PetroQuery: Uma ferramenta para consulta e navegação sobre ontologias,,1,manual
17,RSRural/Web: Uma interface Web para consultas e execução de processos geográficos,,1,manual
18,Uma Abordagem para Viabilizar o Processo de Data Warehouse de Dados Biológicos,,1,manual
19,Uma Proposta de Navegação na Web Utilizando Facetas,,2,manual
20,Implementação de uma infra-estrutura para controle de versões e adaptação de páginas Web,,2,manual
21,Comparativo de Desempenho entre Bancos de Dados de Código Aberto,,2,manual
22,Implementação de um Mecanismo para Gerência de Evolução de Esquemas de DW,,2,manual
23,Extensão para a Execução de Regras Através da Detecção de Eventos Temporais,,2,manual
24,Similaridade entre documentos semi-estruturados,,2,manual
25,Replicação em Banco de Dados PostgreSQL,,2,manual
26,Ferb: um framework para casamento de esquemas,,2,manual
27,Aplicação de Técnicas de Mineração do Uso da Web para Análise de Processos de Negócio: um Estudo de Caso,,2,manual
28,Determinando Equivalências Semânticas entre Componentes de Esquemas GML,,2,manual
29,Método TPC-H para sintonia em SGBDs livres,,2,manual
30,Definição e Implementação de Regras de Conversão de um Esquema XML Schema para um Esquema Conceitual,,2,manual
31,Protótipo de Interpretador para cTVQL,,2,manual
32,"Requisitos para modelos analíticos de armazém de dados, voltados ao acompanhamento de processos de negócio",,2,manual
33,BDTerm: um Sistema de Gerenciamento de Bases de Dados Terminológicas,,2,manual
34,Integração de dados em múltiplos níveis,,2,manual
35,Análise de Abordagens para Modelagem Conceitual e Lógica de Bancos de Dados XML,2,3,manual
36,Geração automática de esquemas relacionais a partir de esquemas XML,1,3,manual
37,Melhorando comparações XML com funções de pré-processamento,2,3,manual
38,Acesso a Banco de Dados através de Celulares,1,3,manual
39,Um ambiente de armazenamento e consulta de documentos baseado em GED e tesauros,1,3,manual
40,Análise quantitativa e temporal do Wikigrafo-PT,1,3,manual
41,Ferramenta para Visualização de Informações Temporais para Bancos de Dados Mestre/Detalhe,1,3,manual
