id,autor_id,artigo_id,ordem
1,1,1,1
2,2,1,2
3,3,2,1
5,2,2,3
6,5,3,1
7,6,3,2
8,2,3,3
10,8,4,2
11,9,5,1
12,10,5,2
13,11,6,1
14,12,6,2
15,13,6,3
16,14,7,1
17,15,8,1
18,16,8,2
19,17,9,1
20,18,9,2
21,19,10,1
22,2,10,2
23,20,11,1
24,13,11,2
25,21,12,1
26,22,12,2
27,23,12,3
28,24,12,4
29,25,12,5
30,26,13,1
31,27,14,1
32,2,14,2
33,28,15,1
34,10,15,2
35,29,16,1
36,30,16,2
37,31,16,3
38,32,16,4
39,33,17,1
40,34,17,2
41,35,17,3
42,36,18,1
43,37,18,2
44,38,18,3
45,39,18,4
46,40,19,1
47,41,20,1
48,42,20,2
49,2,20,3
50,43,21,1
51,44,21,2
52,45,21,3
53,46,22,1
54,47,22,2
55,48,23,1
56,28,23,2
57,49,24,1
58,50,24,2
59,51,25,1
60,52,25,2
61,19,26,1
62,2,26,2
63,53,27,1
64,8,27,2
65,54,28,1
66,50,28,2
67,55,29,1
68,56,29,2
69,57,29,3
70,58,30,1
71,50,30,2
72,59,31,1
73,60,31,2
74,61,32,1
75,10,32,2
76,62,33,1
77,50,33,2
78,63,34,1
79,6,34,2
80,64,35,1
81,50,35,2
82,65,36,1
83,6,36,2
84,66,37,1
85,67,37,2
86,2,37,3
87,68,38,1
88,69,38,2
89,70,38,3
90,71,39,1
91,18,39,2
92,72,40,1
93,73,40,2
94,74,40,3
95,75,40,4
96,76,41,1
97,77,41,2
98,24,41,3
99,9,42,1
100,10,42,2
101,78,43,1
102,79,43,2
103,80,43,3
104,81,44,1
105,10,44,2
106,82,45,1
107,83,45,2
108,84,46,1
109,50,46,2
110,85,47,1
111,86,47,2
112,67,48,1
113,24,48,2
114,87,49,1
115,88,49,2
116,89,50,1
117,90,50,2
118,13,50,3
119,91,51,1
120,8,51,2
121,10,51,3
122,92,52,1
123,50,52,2
124,19,53,1
125,2,53,2
126,93,54,1
127,94,54,2
128,49,54,3
129,50,54,4
130,95,55,1
131,54,55,2
132,50,55,3
133,96,56,1
134,18,56,2
135,97,57,1
136,98,57,2
137,99,58,1
138,83,58,2
139,100,59,1
140,101,59,2
141,102,59,3
142,103,59,4
143,104,60,1
144,83,60,2
145,105,61,1
146,106,61,2
147,107,62,1
148,108,62,2
149,109,62,3
150,110,62,4
151,111,62,5
152,112,63,1
153,50,63,2
154,113,64,1
155,83,64,2
156,114,65,1
157,50,65,2
158,115,66,1
159,64,66,2
160,50,66,3
161,68,67,1
162,116,67,2
163,117,67,3
164,106,68,3
165,118,68,2
166,119,68,1
167,120,69,1
168,50,69,2
169,121,70,1
170,119,70,2
171,122,70,3
172,123,71,1
173,47,71,2
174,119,71,3
175,124,71,4
176,125,72,1
177,119,72,2
178,123,72,3
179,126,73,1
180,127,73,2
181,128,73,3
182,129,74,1
183,130,75,1
184,131,75,2
185,132,76,1
186,133,76,2
187,134,76,3
188,135,77,1
189,136,77,2
190,56,77,3
191,57,77,4
192,137,78,1
193,138,78,2
194,139,79,1
195,10,79,2
196,140,80,1
197,141,80,2
198,56,81,1
199,142,81,2
200,143,81,3
201,57,81,4
202,144,81,5
203,145,82,1
204,128,82,2
205,118,83,1
206,106,83,2
207,6,83,3
208,119,83,4
209,146,84,1
210,147,84,2
211,148,84,3
212,10,84,4
213,149,85,1
214,6,85,2
215,119,85,3
216,150,86,1
217,83,86,2
218,118,87,1
219,119,87,2
220,6,87,3
221,151,88,1
222,146,88,2
223,152,88,3
224,153,88,4
225,154,89,1
226,68,89,2
227,155,90,1
228,156,90,2
229,157,90,3
230,158,91,1
231,159,91,2
232,118,92,1
233,6,92,2
234,119,92,3
235,160,93,1
236,106,93,2
237,119,93,3
238,13,93,4
239,50,94,1
240,161,94,2
241,162,95,1
242,163,95,2
243,128,95,3
244,164,95,4
245,165,96,1
246,166,97,1
247,167,97,2
248,34,97,3
249,168,98,1
250,6,98,2
251,169,99,1
252,170,99,2
253,171,100,1
254,123,100,2
255,172,101,1
256,119,101,2
257,6,101,3
258,50,102,1
259,173,102,2
260,174,102,3
261,175,103,1
262,176,104,1
263,177,104,2
264,178,105,1
265,179,105,2
266,180,106,1
267,181,107,1
268,182,107,2
269,183,107,3
270,184,107,4
271,185,108,1
272,128,108,2
273,186,109,1
274,50,109,2
275,187,110,1
276,123,110,2
277,188,111,1
278,6,111,2
279,189,112,1
280,50,112,2
281,190,113,1
282,191,113,2
283,192,113,3
284,127,113,4
285,128,113,5
286,129,114,1
287,193,114,2
288,194,114,3
289,195,114,4
290,196,114,5
291,171,115,1
292,6,115,2
293,197,116,1
294,123,116,2
295,198,117,1
296,199,117,2
297,122,117,3
298,200,118,1
299,198,118,2
300,199,118,3
301,122,118,4
302,201,119,1
303,6,119,2
304,141,120,2
305,202,120,1
306,203,121,1
307,204,121,2
308,205,122,1
309,19,122,2
310,206,123,1
311,50,123,2
312,207,124,1
313,208,124,2
314,209,125,1
315,19,125,2
316,210,126,1
317,8,126,2
318,211,127,1
319,212,128,1
320,19,128,2
321,213,129,1
322,214,129,2
323,215,130,1
324,50,130,2
325,216,131,1
326,217,131,2
327,218,131,3
328,128,131,4
329,219,132,1
330,220,133,1
331,221,133,2
332,222,134,1
333,19,134,2
334,223,135,1
335,224,135,2
336,225,136,1
337,226,136,2
338,227,136,3
339,10,136,4
340,228,137,1
341,199,137,2
342,122,137,3
343,229,138,1
344,230,138,2
345,199,138,3
346,122,138,4
347,231,139,1
348,19,139,2
349,232,140,1
350,233,140,2
351,234,140,3
352,10,140,4
353,189,141,1
354,50,141,2
355,235,142,2
356,83,142,1
357,236,143,1
358,83,143,2
359,237,143,3
360,238,143,4
361,239,144,1
362,54,144,2
363,240,145,1
364,241,145,2
365,237,146,1
366,83,146,2
367,242,147,1
368,83,147,2
369,243,148,1
370,54,148,2
371,244,149,1
372,141,149,2
373,163,150,1
374,64,150,2
375,245,150,3
376,246,150,4
377,247,150,5
378,248,150,6
379,249,151,1
380,250,151,2
381,251,151,3
382,221,151,4
383,252,152,1
384,223,152,2
385,224,152,3
386,253,153,1
387,254,153,2
388,255,153,3
389,256,154,1
390,118,154,2
391,119,154,3
392,6,154,4
393,257,155,1
394,258,155,2
395,115,156,1
396,50,156,2
397,259,157,1
398,260,157,2
399,261,157,3
400,262,158,1
401,138,158,2
402,244,159,1
403,141,159,2
404,50,159,3
405,252,160,1
406,224,160,2
407,252,161,1
408,223,161,2
409,224,161,3
410,263,162,1
411,264,162,2
412,138,162,3
413,265,162,4
414,266,163,1
415,267,163,2
416,23,163,3
417,268,164,1
418,141,164,2
419,269,165,1
420,270,165,2
421,64,165,3
422,271,166,1
423,272,166,2
424,273,167,1
425,52,167,2
426,274,168,1
427,275,168,2
428,276,168,3
429,277,168,4
430,22,168,5
431,278,169,1
432,122,169,2
433,208,169,3
434,279,170,1
435,280,170,2
436,64,170,3
437,281,171,1
438,19,171,2
439,282,172,1
440,283,172,2
441,284,172,3
442,285,172,4
443,286,172,5
444,287,173,1
445,288,173,2
447,122,173,4
448,290,174,1
449,141,174,2
450,291,175,1
451,123,175,2
452,292,176,1
453,293,176,2
454,294,176,3
455,295,176,4
456,296,177,1
457,297,177,2
458,298,177,3
459,299,177,4
460,300,178,1
461,106,178,2
462,301,179,1
463,302,179,2
464,303,179,3
465,304,180,1
466,258,180,2
