id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
1,2005,Porto Alegre,RS,2005-04-08,2005-04-09,UFRGS,,,2
2,2006,Passo Fundo,RS,,,UFP,,,2
3,2007,Caxias do Sul,RS,2007-04-11,2007-04-13,UCS,O Profissional de Banco de Dados no Brasil,,2
4,2008,Florianópolis,SC,2008-04-02,2008-04-04,UFSC,Sintonia Fina de Banco de Dados,,2
5,2009,Ijuí,RS,,,,,,2
6,2010,Joinville,SC,2010-04-14,2010-04-16,UDESC/Univille,Mineração de Dados,,2
7,2011,Novo Hamburgo,RS,2011-04-13,2011-04-15,Feevale,Banco de Dados e a Web,,2
8,2012,Curitiba,PR,2012-04-11,2012-04-13,PUC,Gerência de Dados Multimídia,,2
9,2013,Camboriú,SC,2013-04-10,2013-04-12,IFC,Bancos de Dados Geográficos,,2
10,2014,São Francisco do Sul,SC,2014-04-23,2014-04-25,IFC,Big Data,,2
11,2015,Caxias do Sul,RS,2015-04-15,2015-04-17,UCS,,,2
12,2016,Londrina,PR,2016-04-13,2016-04-15,UEL,Data Science,,2
13,2017,Passo Fundo,RS,2017-04-03,2017-04-05,UPF,Sistemas de Recomendação,,2
14,2018,Rio Grande,RS,2018-04-09,2018-04-11,FURG,Recuperação de Informações,,2
15,2019,Chapecó,SC,2019-04-10,2019-04-12,UFFS,Inteligência de Dados,,2
16,2019,,,,,,,(Des) Caminhos na Comunicação Organizacional: ensaios e pesquisas do Grupo de Estudo em Comunicação Organizacional,3
17,2017,,,,,,,(RE) LEITURAS CONTEMPORÂNEAS SOBRE COMUNICAÇÃO ORGANIZACIONAL E RELAÇÕES PÚBLICAS,3
18,2009,,,,,,,10 th Brazilian Power Electronics Conference,2
19,2012,,,,,,,10 th INDUSCON 2012,2
20,2012,,,,,,,10 th INDUSCON 2012,2
21,2014,,,,,,,10ª ERBD - Escola Regional de Banco de Dados,2
22,2016,,,,,,,10a Reunião da Comissão de Trigo e Triticale,2
23,2019,,,,,,,10º Congresso Brasileiro de Engenharia de Fabricação,2
24,2016,,,,,,,10º Simpósio Internacional de Qualidade Ambiental,2
25,2016,,,,,,,10º Simpósio Internacional de Qualidade Ambiental,2
26,2009,,,,,,,10th Brazilian Power Electronics Conference,2
27,2013,,,,,,,10th CONTECSI,2
28,2016,,,,,,,10th European Conference on Games Based Learning - ECGBL,2
29,2008,,,,,,,10th International Conference on Enterprise Information Systems (ICEIS),2
30,2011,,,,,,,10th International Workshop on Web Semantics (WebS'11),2
31,2013,,,,,,,11º Simpósio de Hidráulica e Recursos Hídricos dos Países de Língua Portuguesa VII Congresso sobre Planeamento e Gestão das Zonas Costeiras dos Países de Expressão Portuguesa,2
32,2013,,,,,,,11º SIMPOSIO DE HIDRAULICA E RECURSOS HÍDRICOS DOS PAÍSES DE LINGUA PORTUGUESA/ VII CONGRESSO SOBRE PLANEAMENTO E GESTÃO DAS ZONAS COSTEIRAS DOS PAÍSES DE EXPRESSÃO PORTUGUESA,2
33,2014,,,,,,,11th CONTECSI,2
34,2016,,,,,,,11th International Conference on Internet and Web Applications and Services,2
35,2015,,,,,,,12th CONTECSI,2
36,2011,,,,,,,"12th International Congress of the Brazilian Geophysical Society &amp;amp; EXPOGEF, Rio de Janeiro, Brazil, 15&amp;#45;18 August 2011",2
37,2012,,,,,,,"13º Mostra de Pesquisa, Ensino e Extensão do IFRS Campus Porto Alegre",2
38,2015,,,,,,,13th Active Learning in Engineering Education Workshop,2
39,2015,,,,,,,13th Active Learning in Engineering Education Workshop,2
40,2015,,,,,,,13th Active Learning in Engineering Education Workshop,2
41,2015,,,,,,,13th Active Learning in Engineering Education Workshop,2
42,2015,,,,,,,13th Active Learning in Engineering Education Workshop,2
43,2015,,,,,,,13th Brazilian Power Electronics Conference and 1º SPEC,2
44,2018,,,,,,,13th edition of the International Conference on the Computational Processing of Portuguese (PROPOR 2018),2
45,2017,,,,,,,14th CONTECSI,2
46,2017,,,,,,,14th CONTECSI,2
47,2015,,,,,,,14th International Conference on WWW/Internet (ICWI 2015),2
48,2006,,,,,,,15 ENFSUL - Encontro de Enfermagem da Região Sul,2
49,2017,,,,,,,15ª Escola Regional de Redes de Computadores,2
50,2017,,,,,,,15ª Escola Regional de Redes de Computadores,2
51,2018,,,,,,,15th CONTECSI,2
52,2013,,,,,,,15th International Conference on Information Integration and Web-based Applications &amp; Services (iiWAS2013),2
53,2012,,,,,,,16th East-European Conference on Advances in Databases and Information Systems (ADBIS 2012),2
54,2011,,,,,,,19º Evento de Iniciação Científica - EVINCI,2
55,2002,,,,,,,1st International Syposium on Residue Management in Universities,2
56,2009,,,,,,,2009 Congress on Services - I,2
57,2011,,,,,,,"2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies",2
58,2011,,,,,,,"2011 12th International Conference on Parallel and Distributed Computing, Applications and Technologies",2
59,2011,,,,,,,2011 IEEE 4th International Conference on Cloud Computing,2
60,2011,,,,,,,2011 IEEE International Conference on Information Reuse &amp;amp; Integration,2
61,2012,,,,,,,2012 IEEE 8th International Conference on E-Science,2
62,2012,,,,,,,2012 IEEE Seventh International Conference on Global Software Engineering Workshops,2
63,2012,,,,,,,"2012 SC Companion: High Performance Computing, Networking Storage and Analysis",2
64,2013,,,,,,,2013 2nd Workshop-School on Theoretical Computer Science,2
65,2013,,,,,,,2013 BRICS Congress on Computational Intelligence and 11th Brazilian Congress on Computational Intelligence,2
66,2013,,,,,,,2013 Fourth International Conference on Emerging Intelligent Data and Web Technologies,2
67,2013,,,,,,,2013 IEEE Frontiers in Education Conference,2
68,2013,,,,,,,2013 IEEE International Conference on Big Data,2
69,2013,,,,,,,2013 IEEE International Symposium on Multimedia,2
70,2013,,,,,,,2013 IEEE Symposium on Computers and Communications (ISCC),2
71,2013,,,,,,,2013 IEEE Symposium on Computers and Communications (ISCC),2
72,2013,,,,,,,2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing,2
73,2013,,,,,,,2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),2
74,2013,,,,,,,2013 Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises,2
75,2014,,,,,,,2014 Brazilian Symposium on Computer Games and Digital Entertainment,2
76,2014,,,,,,,2014 IEEE 10th International Conference on e-Science,2
