id_titulacao,id_autor,INICIO_GRADUACAO,TERMINO_GRADUACAO,id_instituicao,CURSO GRADUAÇÃO
1,119,1993,1995,2,Tecnologia Em Processamento de Dados
1,292,1995,1999,3,Processamento de Dados
1,252,2015,2018,4,Sistemas de Informação
1,206,2009,2013,5,Ciência da Computação
1,417,2004,2008,6,Bacharelado em Ciência da Computação
1,253,2018,,7,Ciências Contábeis
1,68,1998,2003,8,Sistemas de Informação
1,274,2011,2015,9,Sistemas de Informação
1,107,1998,2002,10,Tecnologia em Processamento de Dados
1,329,1998,2000,11,Processamento de Dados
1,232,2005,2009,12,Sistemas de Informação
1,309,2012,2014,13,Sistemas de Informação
1,428,1991,1993,14,Tecnologia em Processamento de Dados
1,54,1990,1994,15,Ciências da Computação
1,306,2011,2013,15,Sistemas de Informação
1,243,2010,2014,19,Sistemas de Informação
1,239,2010,2013,19,Bacharelado em Sistemas de Informação
1,282,2014,2016,19,Sistema de Informação
1,394,2014,2018,19,Sistemas de Informação
1,220,2010,2016,18,Bacharelado em Sistema de Informação
1,189,2007,2010,19,Mecatrônica Industrial
1,348,2016,,20,Análise e Desenvolvimento de Sistemas
1,319,2014,,20,Análise e Desenvolvimento de sistemas
1,296,1998,2003,21,Engenharia Elétrica
1,158,1990,1992,22,TECNOLOGIA EM PROCESSAMENTO DE DADOS
1,257,2014,2015,23,Business Information Systems
1,211,1999,2002,24,Bacharelado em Análise de Sistemas
1,139,1970,1973,26,Comunicação Social
1,89,1987,1990,26,Informática Software Básico
1,225,2006,2009,26,Sistemas de Informação
1,439,2003,2007,27,Bacharelado em Ciências da Computação
1,5,1991,1998,27,Bacharel em Informática
1,85,2001,2005,27,Ciência da Computação
1,1,1998,2002,27,SEM_DADOS
1,53,2000,2004,27,Bacharelado Em Ciência da Computação
1,187,2007,,27,Ciência da Computação
1,165,1998,2002,27,Engenharia de Computação
1,140,2005,2009,27,Ciência da Computação
1,27,1996,2001,27,SEM_DADOS
1,420,2007,,27,Ciência da Computação
1,48,2003,2006,27,Ciência da Computação
1,435,2002,2006,27,Sistemas de Informação
1,3,2000,2005,27,Ciência da Computação
1,92,1998,2003,27,SEM_DADOS
1,434,2006,,27,SEM_DADOS
1,58,1999,2003,27,Engenharia de Computação
1,21,2001,2005,27,Ciencia da Computacao
1,11,2000,,27,SEM_DADOS
1,121,1999,,27,SEM_DADOS
1,78,2002,2007,27,SEM_DADOS
1,367,2010,,27,Engenharia de Computação
1,216,2005,,27,SEM_DADOS
1,81,2001,2005,27,SEM_DADOS
1,168,2007,2011,27,Sistemas de Informação
1,104,2003,2007,27,Ciências da Computação
1,63,1999,,27,SEM_DADOS
1,205,2008,,27,Ciência da Computação
1,56,1989,1993,27,Informatica
1,65,2002,,27,Ciência da Computação
