id,nome,uf,cidade
79,Centro de Estudos e Sistemas Avançados do Recife,NULL,NULL
2,Centro de Estudos Superiores de Londrina,NULL,NULL
80,Centro de Informática e Automação do Estado de Santa Catarina,NULL,NULL
81,Centro de Informática e Telecomunicações da Polícia Militar do Pará,NULL,NULL
82,Centro de Pesquisa e Desenvolvimento CPqD/Telebrás,NULL,NULL
83,Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello,NULL,NULL
84,Centro de Tecnologia da Informação Renato Archer,NULL,NULL
85,Centro Educacional O Professor,NULL,NULL
3,Centro Estadual de Educação Tecnológica Paula Souza,NULL,NULL
4,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,NULL,NULL
87,Centro Federal de Educação Tecnológica de São Vicente do Sul,NULL,NULL
88,Centro Gestor e Operacional do Sistema de Proteção da Amazônia (RO),NULL,NULL
89,Centro Nacional de Pesquisa de Trigo - CNPT,NULL,NULL
90,Centro Universitário Barriga Verde,NULL,NULL
91,Centro Universitário Cenecista de Osório,NULL,NULL
5,Centro Universitário de João Pessoa,NULL,NULL
6,Centro Universitário do Estado do Pará,NULL,NULL
94,Centro Universitário do Norte Paulista,NULL,NULL
7,Centro Universitário Estácio Ribeirão Preto,NULL,NULL
8,Centro Universitário Franciscano,NULL,NULL
96,Centro Universitário Internacional,NULL,NULL
9,Centro Universitário Luterano de Ji-Paraná,NULL,NULL
98,Centro Universitário Luterano de Palmas - Universidade Luterana do Brasil,NULL,NULL
99,Centro universitário Maurício de Nassau - Recife,NULL,NULL
100,Centro Universitário Plínio Leite,NULL,NULL
101,Centro Universitário Tocantinense Presidente Antônio Carlos,NULL,NULL
102,Centro Universitário Uninorte,NULL,NULL
103,Colégio Estadual do Paraná,NULL,NULL
104,Colégio Evangélico Panambi,NULL,NULL
105,Colégio João Batista Rotta,NULL,NULL
106,Colégio Politécnico da UFSM,NULL,NULL
107,Faculdade Anchieta de Ensino Superior do Paraná,NULL,NULL
108,"Faculdade Auxillium de Filosofia, Ciências e Letras",NULL,NULL
109,Faculdade Cenecista de Bento Gonçalves,NULL,NULL
110,Faculdade Cenecista de Osório,NULL,NULL
10,Faculdade de Ciencias Administrativas e Tecnologicas - FATec,NULL,NULL
11,Faculdade de Informática de Cuiabá,NULL,NULL
112,Faculdade de Tecnologia de Curitiba,NULL,NULL
113,Faculdade de Tecnologia Expert,NULL,NULL
114,Faculdade de Tecnologia Pastor Dohms,NULL,NULL
115,Faculdade de Tecnologia SENAC Pelotas,NULL,NULL
116,Faculdade de Tecnologia Senac-RS,NULL,NULL
117,Faculdade de Tecnologia SENAI,NULL,NULL
12,Faculdade Dom Bosco de Porto Alegre,NULL,NULL
13,Faculdade Escritor Osman da Costa Lins,NULL,NULL
118,Faculdade Estácio de Sá de Santa Catarina,NULL,NULL
119,Faculdade Expoente,NULL,NULL
120,Faculdade Integrada da Bahia,NULL,NULL
121,Faculdade Ipiranga,NULL,NULL
122,Faculdade Maurício de Nassau de Maceió,NULL,NULL
123,Faculdade Meridional - IMED,NULL,NULL
124,Faculdade Salesiana do Nordeste,NULL,NULL
125,Faculdades Integradas do Brasil,NULL,NULL
126,Faculdades Network,NULL,NULL
14,Fundação Paulista de Tecnologia e Educação,NULL,NULL
15,Fundação Universidade Regional de Blumenau,NULL,NULL
16,Institut de Mathematiques Appliquees de Grenoble (IMAG),NULL,NULL
