"nome","titulo","ano"
"Aldo Wangenheim","Replicação Assíncrona entre banco de dados médicos distribuídos","2008"
"Alexandre Lazzaretti","Mineração de Dados Para Inferir Padrões Associados aos Fenômenos: El Niño, La Niña e Anos Neutros","2012"
"Alexandre Lazzaretti","XDCL 1.1 Uma proposta de linguagem de definição de restrições de integridade de domínio em documentos XML","2008"
"Álvaro Freitas Moreira","Protótipo de Interpretador para cTVQL","2006"
"Ana Carolina Salgado","Comparativo de Desempenho entre Bancos de Dados de Código Aberto","2006"
"André Santanchè","XplNet - Análise exploratória aplicada à redes complexas","2016"
"Augusto Ferreira de Souza","Análise de Abordagens para Matching de Formulários na Deep Web","2012"
"Carina Dorneles","Aplicando tuning no PostgreSQL","2011"
"Carina Dorneles","Detectando diferentes representações de entidades usando Classificadores Bayesianos","2012"
"Carina Dorneles","Especificação de uma Taxonomia para Metadados Multifacetados em Ambientes de Integração de Dados na Web","2010"
"Carina Dorneles","Ferramentas para Suporte a Consultas Temporais em SGBDs convencionais","2009"
"Carina Dorneles","Geração automática de esquemas relacionais a partir de esquemas XML","2007"
"Carina Dorneles","Integração de dados em múltiplos níveis","2006"
"Carina Dorneles","Mapeamento Automático de Modelos de Dados XML Temporais Ad-hoc para um Modelo de Dados XML Temporal Padrão","2010"
"Carina Dorneles","Pré-processamento de tabelas Web heterogêneas para execução do algoritmo de junção merge","2012"
"Carina Dorneles","Suporte a argumentos de consulta vagos através da XPath","2005"
"Carina Dorneles","Um Panorama do Uso do Tempo em Motores de Busca Web","2011"
"Carina Dorneles","Uma Ferramenta para Consulta Estruturada na Web","2011"
"Carina Dorneles","Usando informações do contexto para melhoria da precisão nas buscas por similaridade","2012"
"Carina Dorneles","Uso de Expressões Temporais em Busca na Web: Uma análise através das sugestões de consulta","2014"
"Carlos Eduardo Pires","Comparativo de Desempenho entre Bancos de Dados de Código Aberto","2006"
"Carlos Heuser","Árvore TM: Melhorando Árvores Métricas Agrupando Melhor os Objetos","2005"
"Carlos Heuser","Carla: uma técnica para comparação de cadeias de caracteres","2005"
"Carlos Heuser","Decomposição de Consultas sobre Múltiplas Fontes XML","2005"
"Carlos Heuser","Ferb: um framework para casamento de esquemas","2006"
