ID,NOME COMPLETO,INSTITUIÇÃO
1789870053639215,Fhabiana Thieli dos Santos Machado,Ávato
7758924784164781,Deise de Brum Saccol,Universidade Federal de Santa Maria
4868589544753145,Ângelo Nery Vieira Crestani,
7166030596636868,Thales Vaz Maciel,
1419227384882133,Michel Leite de Ávila,
5011370918857999,Ronaldo dos Santos Mello,Universidade Federal de Santa Catarina
6636099673079414,William Felipe Marx,
9727123750824948,Nádia Puchalski Kozievitch,Universidade Tecnológica Federal do Paraná
1853313255345200,Eugênio de Oliveira Simonetto,Universidade Federal de Santa Maria
6307233387359689,Luiz Carlos Ribeiro Junior,Invenio Software Inteligente Limitada
4027952448873096,Fábio Cesar Pasquali,
3582491735279272,Alison Luiz Bolzon Alonso,
776438722468291,Geomar André Schreiner,
9603191382860031,Flavio Roberto Bayer,
8796491947184490,Giancarlo Lucca,Universidade Federal do Rio Grande
3086826486256981,Tania Maria Antunes Cernach,
8147562322985688,Lenon Ricardo Machado de Souza,
149028226656519,Douglas Dyllon Jeronimo de Macedo,Universidade Federal de Santa Catarina
7881671179759264,Ricardo Gil Belther Nabo,Universidade Federal de Santa Catarina
2509917962288493,Vanessa Barbosa Rolim,
1883007948533852,José Guilherme Camargo de Souza,
729503635411770,André Luciano Rakowski,Universidade Federal de Santa Maria
412793120877584,Vinícios Camponogara Tomazetti,
1523626234873574,Frantchesco Cecchin,Companhia Paranaense de Energia
790769833478481,Tiago Stapenhorst Martins,
5493646935540580,Matheus Koehler Zanella,
4011022927056926,Rebeca Schroeder Freitas,Universidade do Estado de Santa Catarina
4134668596803043,Igor Eduardo Viana Rudel,
1825726627470153,Elis Cassiana Nakonetchnei dos Santos,
9940289333509769,Vania Elisabete Schneider,Universidade de Caxias do Sul
9564405566367158,Vinícius Fülber Garcia,Universidade Federal do Paraná
257722045660099,Josiane Mariano Diniz Duszczak,
3322255992735977,Joaquim Vinicius Carvalho Assunção,Universidade Federal de Santa Maria
2747626874611692,Fabio André Garaluz dos Santos,
6252580701789204,Carlos Henrique Cândido,Tribunal Regional Eleitoral do Mato Grosso
6905169880963398,Débora Cabral Nazário,Universidade do Estado de Santa Catarina
9311546811322086,Jolvani Morgan,
3324661566974662,Rejane Maria Basso,
1977093609893067,Sander Pes Pivetta,
1894333931411941,Alexandre Tagliari Lazzaretti,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Riograndense"
383620524866410,Luiz Carlos de Freitas Santos Júnior,
4986021622366786,Carlos Eduardo Santos Pires,Universidade Federal de Campina Grande
9967502924584073,Gláucio Ricardo Vivian,Instituto Federal Farroupilha
283151657931047,Gabriely Simette,
4949286508602153,Douglas Negrini,
4515546957805206,Larissa Rodrigues Lautert,
8382486031831849,Diego Magno Tavares da Silva,
166466226010035,Mariusa Warpechowski,Campanha Nacional de Escolas da Comunidade
9773578537743759,Lucas Silveira,Universidade Federal de Santa Catarina
5581053144239848,William Bortoluzzi Pereira,
6985089035450046,Renata de Jesus Silva,
5445543982093867,Vitor Hugo Bezerra,
718830701479001,Sergio Luis Sardi Mergen,Universidade Federal do Pampa
3867942762661182,Renata Galante,Universidade Federal do Rio Grande do Sul
3208691140801452,Rafael Garcia,
5075736089100544,Cássio Vinicius Serafim Prazeres,Universidade Federal da Bahia
4371561887763653,Jacson Luiz Matte,Universidade do Oeste de Santa Catarina
4679763284278931,Daniel Matheus Kuhn,
6405951782839858,Renato Fileto,Universidade Federal de Santa Catarina
3646026898257545,Thiago Cassio Krug,Instituto Federal Farroupilha
