ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
0149028226656519,Universidade Federal de Santa Catarina,2003,2015,Pesquisador
0149028226656519,Universidade Federal de Santa Catarina,2015,,Professor Adjunto
0149028226656519,Faculdade de Ciencias Administrativas e Tecnologicas - FATec,1999,1999,Administrador de Redes Junior
0149028226656519,Empresa Brasileira de Correios e Telégrafos - Porto Velho,2001,2002,Analista de Redes
0149028226656519,Secretaria de Saúde do Estado de Rondônia,2001,2002,Analista de Redes
0149028226656519,Fundação Rio Madeira,2003,2004,Pesquisador
0149028226656519,Faculdade de Tecnologia SENAI,2006,2014,Professor
0149028226656519,The University of Western Ontario,2010,2011,Part-time Visiting Graduate Student
0149028226656519,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,2011,2011,Membro de Comissão
0149028226656519,Journal of Digital Imaging,2013,,
0149028226656519,Universidade Federal de Sergipe,2014,2015,Professor Adjunto-A
0149028226656519,Universidade Federal de Sergipe,2015,2018,Professor Visitante
0149028226656519,International Journal of High Performance Systems Architecture (Print),2014,,
0149028226656519,International Journal of High Performance Computing and Networking (Print),2014,,
0149028226656519,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,Membro de Comitê Assessor
0149028226656519,Fundação de Apoio à Pesquisa e à Inovação Tecnológica do Estado de Sergipe,2014,,
0149028226656519,Instituto Federal de Santa Catarina,2015,2015,Professor
0149028226656519,Revista IEEE América Latina,2015,,
0149028226656519,"Ministério da Ciência, Tecnologia e Inovação",2015,2015,
0149028226656519,"Ministério da Ciência, Tecnologia e Inovação",2015,,
0149028226656519,International Journal of Grid and Utility Computing,2015,,
0149028226656519,Em Questão (UFRGS. Impresso),2016,,
0149028226656519,COMPLEXITY,2017,,
0149028226656519,International Journal of Computational Science and Engineering,2016,,
0149028226656519,Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,2017,,
0149028226656519,IEEE IT Professional,2017,,
0149028226656519,International Journal of Big Data Intelligence,2017,,
0149028226656519,International Journal of Grid and Utility Computing (IJGUC),2017,,
0149028226656519,IEEE Access,2017,,
0149028226656519,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA,2017,,
0149028226656519,EM QUESTÃO,2017,,
0149028226656519,Encontros Bibli,2018,,
0149028226656519,INFORMAÇÃO &amp; TECNOLOGIA (ITEC),2018,,
0149028226656519,COMPUTERS &amp; ELECTRICAL ENGINEERING,2018,,
0149028226656519,WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,2018,,
0149028226656519,"ACM Transactions on Multimedia Computing, Communications, and Applications",2020,,
,COMPUTERS IN BIOLOGY AND MEDICINE,2020,,
,Financiadora de Estudos e Projetos,2020,,
,Information Systems (Elsevier),2020,,
,MOBILE NETWORKS AND APPLICATIONS,2020,,
