ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO,
4518559094103750,Universidade Federal do Rio Grande do Sul,2002,2003,Bolsista DTI,
4518559094103750,ADP Brasil LTDA,2005,,Analista de Sistemas Senior,
4518559094103750,Mercador SA,2003,2005,Analista de Sistemas,
4518559094103750,PWPP,2003,2003,Programador,
4518559094103750,Companhia de Processamento de Dados da Prefeitura Municipal de Porto Alegre,2001,2002,Programador,
4518559094103750,Companhia de Processamento de Dados da Prefeitura Municipal de Porto Alegre,2000,2000,Programador,
4518559094103750,Partner Sistemas de Informação Ltda,2000,2001,Programador Pleno,
4838297393852726,Pontifícia Universidade Católica do Rio Grande do Sul,1974,,,
4838297393852726,Organicom. Revista Brasileira de Comunicação Organizacional e Relações Públ,2004,,,
4838297393852726,Ecos Revista,2005,2018,,
4838297393852726,Revista Brasileira de Ciências da Comunicação,2008,,,
4838297393852726,Pontifícia Universidade Católica do Rio Grande do Sul,2000,,,
4838297393852726,Revista Internacional de Relaciones Publicas,2011,,,
4838297393852726,Ass. Bras. de Pesquisadores de Comunicação Org. e de Relações Públicas,2016,2018,Temporário,
4838297393852726,Ass. Bras. de Pesquisadores de Comunicação Org. e de Relações Públicas,2018,,Temporário,
4838297393852726,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2008,,,
4838297393852726,Fundação de Amparo à Pesquisa do Estado de São Paulo,2016,2018,,
3208691140801452,Universidade Federal do Rio Grande do Sul,2013,2014,Bolsista de Iniciação Científica,
3208691140801452,Universidade Federal do Rio Grande do Sul,2015,2015,Bolsista de Iniciação Científica,
1523626234873574,HSBC Bank Brasil S.A.,2006,2010,Analista de Sistemas,
1523626234873574,Universidade Federal do Paraná,2008,2010,Aluno,
1523626234873574,Companhia Paranaense de Energia,2010,,Analista de Sistemas,
1523626234873574,Faculdade Expoente,2011,2015,Professor,
1523626234873574,Fundação de Estudos Sociais do Paraná,2015,,Professor,
9564405566367160,Universidade Federal de Santa Maria,2014,2017,Bolsista,
9564405566367160,Communications and Innovations Gazette,2016,2017,,
9564405566367160,Universidade Federal do Paraná,2019,,Pesquisador,
3898760927613186,Creche Moinhos de Vento,2011,2011,Professor de Informática,
3898760927613186,Colégio Politécnico da UFSM,2013,2014,Bolsa Monitoria,
3898760927613186,Universidade Federal de Santa Maria,2014,2014,Monitoria da Disciplina de Lógica e Algoritmo,
3898760927613186,Universidade Federal de Santa Maria,2015,2017,Bolsista PET - Sistemas de Informação,
3898760927613186,Universidade Federal de Santa Maria,2017,2018,Suporte ao Moodle UAB,
3898760927613186,CS computadores,2009,2010,Estagiário,
3898760927613186,Serviço Nacional de Aprendizagem Comercial - RS,2017,2018,Professor,
3898760927613186,Delivery Much - Pameira das Missões,2018,2019,Gerencia,
4840194867713376,Universidade Federal do Rio Grande do Sul,2002,2005,Bolsista,
4840194867713376,BULL S.A.S.,2006,2006,Pesquisa e Desenvolvimento,
4840194867713376,Fundação Instituto Brasileiro de Geografia e Estatística,2011,,Analista de Planejamento,
4840194867713376,Endeeper Soluções em Informações e Métodos,2011,,Desenvolvedor de Negócios,
4840194867713376,Endeeper Soluções em Informações e Métodos,2008,2010,Gerente de Projeto de Software,
4840194867713376,Endeeper Soluções em Informações e Métodos,2007,2008,Gerente de Desenvolvimento de Software,
838935770686961,Universidade Federal de Santa Maria,2014,,Bolsista do Programa de Educação Tutorial,
5046557311321623,Tribunal Regional do Trabalho da 4ª Região (RS),2014,,Analista Judiciário - TI,
2224821652873925,University of Limerick,2014,2014,Assistente de Pesquisa,
2224821652873925,Universidade Federal da Fronteira Sul,2015,,,
2224821652873925,Emergent Research,2017,,Lead Growth Engineer,
2224821652873925,Centro de Estudos e Sistemas Avançados do Recife,2018,,,
