FONTE,TIPO,ID_LATTES,NOME,TITULO,EVENTO/JOURNAL/LIVRO,ANO,LANG,EDITORA,AUTORES
LATTES,CAP.LIVRO,6405951782839858,Renato Fileto,DLNotes2: Ferramenta de Anotações Estruturadas e Semânticas voltada ao Ensino de Literatura,Escritorios electrónicos para las literaturas: Nuevas herramientas digitales para la anotación colaborativa,2013,Português,,"['MITTMAN, A.', 'WILLRICH, R.', 'Fileto, R.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Desenvolvimento de interfaces e aplicações web,desenvolvimento em software livre,2004,Português,Editora Unisinos,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Identifying users stereotypes for dynamic Web pages customization,Handbook of Web Log Analysis,2007,Inglês,The Pennsylvania State University,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO', 'OLIVEIRA, J. P. M.', 'Wives, L.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Avaliação dos Recursos Utilizados em EAD,Avaliação,2009,Português,IESDE Brasil,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO', 'Nornberg, N.', 'FRIEDRICH, M. A.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Sistemas Integrados de Avaliação de Desempenho,Mensuração de Desempenho,2013,Português,Editora UNISINOS,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO', 'COUTINHO, J. M. F.', 'PAULA, R. P.', 'DIAS, S. L. V.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,"Virtual Reality, Augmented Reality and Ubiquitous Computing: Concepts, Technology and Practice",Augmented Virtual Realities for Social Development Experiences between Europe and Latin America,2013,Português,Editorial de Belgrano,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO', 'COSTA, C. A.', 'Francisco José Séron Arbeloa', 'CARVALHO, C. V.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Applications,Augmented Virtual Realities for Social Development Experiences between Europe and Latin America,2013,Português,Editorial de Belgrano,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO', 'COSTA, C. A.', 'Costa, H.', 'Bruscato, U. M.', 'Barbosa, J. L. V.', 'Luiz Gonzaga Silveira Jr', 'FERREIRA, E.', 'WICHMAN, M.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,An Application for Mobile Devices Focused on Clinical Decision Support: Diabetes Mellitus Case,Advances in Intelligent Systems and Computing,2016,Português,Springer International Publishing,"['Klein, Lucas Felipe', 'RIGO, SANDRO JOSÉ', 'Cazella, Sílvio César', 'Ben, Ângela Jornada']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Collaborative Learning on Decentralized Ubiquitous Environments,Exploring the New Era of Technology-Infused Education,2016,Português,IGI Global,"['BARBOSA, JORGE LUIS VICTÓRIA', 'BARBOSA, DÉBORA NICE FERRARI', 'RIGO, SANDRO JOSÉ', 'Machado de Oliveira, Jezer', 'Junior, Solon Andrade Rabello']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Wearable Health Care Ubiquitous System for Stroke Monitoring and Alert,Advances in Wireless Technologies and Telecommunication,2017,Português,IGI Global,"['Silva, Allan de Barcelos', 'RIGO, SANDRO JOSÉ', 'Barbosa, Jorge Luis Victoria']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Pensamento computacional no Ensino Superior: relato sobre uma experiência de oficina com professores da Universidade do Vale do Rio dos Sinos,Políticas e Práticas na Formação de Professores,2018,Corsico,Pimenta Cultural LTDA,"['LOPES, T. R. C.', 'KAMPFF, A.', 'ALVES, I. M.', 'SOUZA, V.', 'Marson, F.', 'RIGO, SANDRO J.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Como ajudar alunos do ensino fundamental a desvendar o incrível mundo dos códigos,Computação na Educação Básica,2020,Português,Penso,"['RIGO, SANDRO JOSÉ', 'LIMA, J. O.']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,REVISÃO SISTEMÁTICA SOBRE NOVAS TECNOLOGIAS APLICADAS AO ENSINO NA ÁREA DA SAÚDE,Enfermagem Moderna: Bases de Rigor Técnico e Científico,2019,Português,Atena Editora,"['Rockenback, Luana Daniela de Souza', 'Pinheiro, Diego', 'Mello, Blanda Helena de', 'Barros, Paulo Ricardo', 'BEZ, MARTA ROSECLER', 'RIGO, SANDRO JOSÉ']"
LATTES,CAP.LIVRO,3914159735707328,Sandro José Rigo,Sistema SeRELeP para o reconhecimento de relações entre entidades mencionadas,Desafios na avaliação conjunta do reconhecimento de entidades mencionadas: Actas do Encontro do Segundo HAREM. : Linguateca,2008,Português,,"['Mírian', 'J G C', 'VIEIRA, Renata', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO']"
LATTES,CAP.LIVRO,9339111529388745,Jorge Gustavo Sandoval Simão,Sistema para Mineração de Dados de Biometria de Voz na Segurança Pública utilizando Aprendizado de Máquina,Inovação em Segurança Pública,2019,Português,FUCAP,"['SIMÃO, J. G. S.', 'KALE, A.A.', 'HEERDT, S. C. S.']"
LATTES,CAP.LIVRO,743793296062293,Daniel Cardoso Moraes de Oliveira,Towards a Taxonomy for Cloud Computing from an e-Science Perspective,"Cloud Computing: Principles, Systems and Applications",2010,Inglês,Springer-Verlag,"['OLIVEIRA, D.', 'BAIAO, F.', 'MATTOSO, M.']"
LATTES,CAP.LIVRO,743793296062293,Daniel Cardoso Moraes de Oliveira,"Mirror Mirror on the Wall, How Do I Dimension My Cloud After All?",Computer Communications and Networks,2017,Inglês,Springer International Publishing,"['COUTINHO, RAFAELLI', 'FROTA, YURI', 'OCAÑA, KARY', 'DE OLIVEIRA, DANIEL', 'Drummond, Lúcia M. A.']"
LATTES,CAP.LIVRO,743793296062293,Daniel Cardoso Moraes de Oliveira,Clouds and Reproducibility: A Way to Go to Scientific Experiments?,Computer Communications and Networks,2017,Inglês,Springer International Publishing,"['de Oliveira, Ary H. M.', 'DE OLIVEIRA, DANIEL', 'MATTOSO, MARTA']"
LATTES,CAP.LIVRO,743793296062293,Daniel Cardoso Moraes de Oliveira,Monitoramento e adaptação de transformações em dados científicos ao longo de execuções paralelas em ambientes de processamento de alto desempenho,Grandes Desafios da Computação no Brasil - Relatos do 3o Seminário,2015,Português,Sociedade Brasileira de Computação,"['MATTOSO, M.', 'OLIVEIRA, D.']"
LATTES,CAP.LIVRO,4940517936484660,André Magno Costa de Araujo,Towards a Reusable Framework for Generating Health Information Systems,Advances in Intelligent Systems and Computing,2019,Inglês,Springer International Publishing,"['de Araújo, André Magno Costa', 'Times, Valéria Cesário', 'Silva, Marcus Urbano']"
LATTES,CAP.LIVRO,4940517936484660,André Magno Costa de Araujo,An HL7-Based Middleware for Exchanging Data and Enabling Interoperability in Healthcare Applications,Advances in Intelligent Systems and Computing,2020,Português,Springer International Publishing,"['Bezerra, Carlos Andrew Costa', 'de Araújo, André Magno Costa', 'Times, Valéria Cesário']"
LATTES,CAP.LIVRO,4940517936484660,André Magno Costa de Araujo,A Speech Recognition Mechanism for Enabling Interactions Between End-Users and Healthcare Applications,Advances in Intelligent Systems and Computing,2020,Português,Springer International Publishing,"['Couto, Henrique', 'Lima, Ítalo', 'Souza, Rychard', 'ARAÚJO, ANDRÉ', 'Times, Valéria']"
LATTES,CAP.LIVRO,4940517936484660,André Magno Costa de Araujo,A Cloud Service for Graphical User Interfaces Generation and Electronic Health Record Storage,Advances in Intelligent Systems and Computing,2018,Inglês,Springer International Publishing,"['de Araújo, André Magno Costa', 'Times, Valéria Cesário', 'da Silva, Marcus Urbano']"
LATTES,CAP.LIVRO,7243777210978499,Darlan Florêncio de Arruda,Towards a Meta-model for Requirements-Driven Information for Internal Stakeholders,Lecture Notes in Computer Science,2019,Português,Springer International Publishing,"['NOORWALI, IBTEHAL', 'MADHAVJI, NAZIM H.', 'ARRUDA, DARLAN', 'Ferrari, Remo']"
LATTES,CAP.LIVRO,7243777210978499,Darlan Florêncio de Arruda,State of Requirements Engineering Research in the Context of Big Data Applications,Lecture Notes in Computer Science,2018,Português,Springer International Publishing,"['ARRUDA, DARLAN', 'MADHAVJI, NAZIM H.']"
LATTES,CAP.LIVRO,8796491947184490,Giancarlo Lucca,The Notion of Pre-aggregation Function,Lecture Notes in Computer Science,2015,Português,Springer International Publishing,"['LUCCA, GIANCARLO', 'Sanz, José Antonio', 'Dimuro, Graçaliz Pereira', 'Bedregal, Benjamín', 'Mesiar, Radko', 'Kolesárová, Anna', 'Bustince, Humberto']"
LATTES,CAP.LIVRO,8796491947184490,Giancarlo Lucca,Analyzing the Behavior of Aggregation and Pre-aggregation Functions in Fuzzy Rule-Based Classification Systems with Data Complexity Measures,Advances in Intelligent Systems and Computing,2018,Português,Springer International Publishing,"['LUCCA, GIANCARLO', 'Sanz, Jose', 'Dimuro, Graçaliz P.', 'Bedregal, Benjamín', 'Bustince, Humberto']"
LATTES,CAP.LIVRO,8796491947184490,Giancarlo Lucca,FURG Smart Games: A Proposal for an Environment to Game Development with Software Reuse and Artificial Intelligence,Communications in Computer and Information Science,2012,Português,Springer Berlin Heidelberg,"['Madsen, Carlos Alberto B. C. W.', 'LUCCA, GIANCARLO', 'Daniel, Guilherme B.', 'Adamatti, Diana F.']"
LATTES,CAP.LIVRO,8796491947184490,Giancarlo Lucca,CMin-Integral: A Choquet-Like Aggregation Function Based on the Minimum t-Norm for Applications to Fuzzy Rule-Based Classification Systems,Advances in Intelligent Systems and Computing,2018,Português,Springer International Publishing,"['Dimuro, Graçaliz Pereira', 'LUCCA, GIANCARLO', 'Sanz, José António', 'Bustince, Humberto', 'Bedregal, Benjamín']"
LATTES,CAP.LIVRO,7497320738069454,Edimar Manica,UM OBJETO DE APRENDIZAGEM MULTIMODAL SOB A ÓTICA DE GAGNÉ,OBJETOS DE APRENDIZAGEM MULTIMODAIS. PROJETOS E APLICAÇÕES,2014,Português,EDITORIAL UOC,"['CORREA, Y.', 'MENEGAIS, D. A. F. N.', 'MANICA, Edimar', 'SILVA, F. P.', 'SCHNAID, F.', 'BIASUZ, M. C. V.']"
LATTES,CAP.LIVRO,7497320738069454,Edimar Manica,MOVIMENTO MAKER COMO INCENTIVO AO ESTUDO DE CIÊNCIAS: UMA PROPOSTA EDUCACIONAL COM ROBÓTICA DE BAIXO CUSTO,"Pesquisas no Ensino Básico, Técnico e Tecnológico: Ciências Exatas",2020,Português,Stricto Sensu Editora,"['Souza, Vanessa Faria de', 'Rocha, Tiago Rios da', 'Lavarda, Roger Luis Hoff', 'MANICA, Edimar', 'Lange, Rodrigo', 'Rosa, Ronaldo Serpa da', 'Gubert, Luis Claudio']"
