FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.4018/jdst.2012040101,Ontology-Based Clustering in a Peer Data Management System,2012,Inglês,International Journal of Distributed Systems and Technologies,SEM_DADOS,SEM_DADOS,"['PIRES, C. E. S. and', 'SANTIAGO, R. M. L. and', 'SALGADO, A. C. and', 'KEDAD, Z. and', 'BOUZEGHOUB, M. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1007/978-3-642-23074-5_3,A Semantic-based Approach for Data Management in a P2P System,2011,Inglês,International Journal on Transactions on Large-Scale Data- and Knowledge-Centered Systems (TLDKS),SEM_DADOS,SEM_DADOS,"['SOUZA, D. and', 'PIRES, C. E. and', 'KEDAD, Z. and', 'TEDESCO, P. and', 'SALGADO, A. C. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.5753/RBIE.2011.19.02.56,Detecção e Avaliação de Cola em Provas Escolares Utilizando Mineração de Texto: um Estudo de Caso,2011,Português,Revista Brasileira de Informação na Educação,SEM_DADOS,SEM_DADOS,"['Cavalcanti, Elmano Ramalho and', 'Cavalcanti, Elmano Pontes and', 'Pires, Carlos Eduardo and', 'Costa, Rodrigo Alves and', 'Cavalcanti, Caroline Ramalho and', 'PIRES, C. E. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,The Data Integration Research Group at UFPE,2011,Português,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['SALGADO, A. C. and', 'LÓSCIO, B. F. and', 'BATISTA, M. C. M. and', 'BELIAN, R. B. and', 'PIRES, C. E. S. and', 'SOUZA, D. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,Um Modelo de Dados para Trajetórias de Objetos Móveis com suporte a Agregação de Movimentos,2011,Português,iSys: Revista Brasileira de Sistemas de Informação,SEM_DADOS,SEM_DADOS,"['ALMEIDA, C. A. S. and', 'PIRES, C. E. and', 'SCHIEL, U. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,Detection and Evaluation of Cheating on College Exams using Supervised Classification,2012,Inglês,Informatics in Education,SEM_DADOS,SEM_DADOS,"['CAVALCANTI, E. R. and', 'PIRES, C. E. and', 'CAVALCANTI, E. P. and', 'PIRES, V. F. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,Early Classification: A New Heuristic to Improve the Classification Step of K-Means,2013,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['PEREZ, J. and', 'PIRES, C. E. and', 'MARINHO, L. B. and', 'MEXICANO, A. and', 'HIDALGO, M. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,A Method for Building Personalized Ontology Summaries,2013,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['SOUSA, P. and', 'PIRES, C. E. and', 'SALGADO, A. C. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,Efficient Entity Matching over Multiple Data Sources with MapReduce,2014,Português,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['MESTRE, D. G. and', 'PIRES, C. E. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,,A Parallel Approach for Matching Large-scale Ontologies,2015,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['ARAUJO, T. B. and', 'PIRES, C. E. and', 'NOBREGA, T. P. and', 'NASCIMENTO FILHO, D. C. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1007/s10489-016-0774-2,Applying machine learning techniques for scaling out data quality algorithms in cloud computing environments,2016,Português,Applied Intelligence (Dordrecht. Online),SEM_DADOS,SEM_DADOS,"['NASCIMENTO, DIMAS C. and', 'PIRES, C. E. S. and', 'MESTRE, D. G. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.5753/rbie.2015.23.03.98,Um Jogo Didático para Detecção de Problemas de Qualidade de Dados em Bancos de Dados Relacionais,2015,Português,Revista Brasileira de Informática na Educação,SEM_DADOS,SEM_DADOS,"['PIRES, CARLOS EDUARDO and', 'QUEIROZ, ANDREZA RAQUEL M. DE and', 'NAVARRO, DANDARA DANTAS and', 'MARINHO, LEANDRO BALBY and', 'PIRES, VLÁDIA FREIRE and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1016/j.knosys.2016.08.017,A Fine-grained Load Balancing Technique for Improving Partition-Parallel-based Ontology Matching Approaches,2016,Inglês,Knowledge-Based Systems,SEM_DADOS,SEM_DADOS,"['ARAUJO, T. B. and', 'PIRES, C. E. S. and', 'NOBREGA, T. P. and', 'NASCIMENTO FILHO, D. C. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1016/j.jpdc.2016.11.002,Towards the efficient parallelization of multi-pass adaptive blocking for entity matching,2017,Inglês,Journal of Parallel and Distributed Computing (Print),SEM_DADOS,SEM_DADOS,"['MESTRE, DEMETRIO GOMES and', 'PIRES, CARLOS EDUARDO SANTOS and', 'NASCIMENTO, DIMAS CASSIMIRO and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1016/j.jss.2017.03.003,An Efficient Spark-based Adaptive Windowing for Entity Matching,2017,Inglês,The Journal of Systems and Software,SEM_DADOS,SEM_DADOS,"['MESTRE, DEMETRIO GOMES and', 'PIRES, CARLOS EDUARDO SANTOS and', 'NASCIMENTO, DIMAS CASSIMIRO and', 'QUEIROZ, ANDREZA RAQUEL and', 'SANTOS, VERUSKA BORGES and', 'ARAUJO, TIAGO BRASILEIRO and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1016/j.jss.2017.11.074,Heuristic-based approaches for speeding up incremental record linkage,2018,Inglês,JOURNAL OF SYSTEMS AND SOFTWARE,SEM_DADOS,SEM_DADOS,"['DO NASCIMENTO, DIMAS CASSIMIRO and', 'SANTOS PIRES, CARLOS EDUARDO and', 'GOMES MESTRE, DEMETRIO and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1109/tits.2018.2846036,"Estimating Inefficiency in Bus Trip Choices from a User Perspective With Schedule, Positioning, and Ticketing Data",2018,Português,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,SEM_DADOS,SEM_DADOS,"['BRAZ, TARCISO and', 'MACIEL, MATHEUS and', 'MESTRE, DEMETRIO GOMES and', 'ANDRADE, NAZARENO and', 'PIRES, CARLOS EDUARDO and', 'QUEIROZ, ANDREZA RAQUEL and', 'SANTOS, VERUSKA BORGES and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1007/s10115-019-01347-0,Exploiting block co-occurrence to control block sizes for entity resolution,2019,Inglês,KNOWLEDGE AND INFORMATION SYSTEMS,SEM_DADOS,SEM_DADOS,"['NASCIMENTO, DIMAS CASSIMIRO and', 'PIRES, C. E. S. and', 'MESTRE, D. G. and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1016/j.future.2019.02.011,BIGSEA: A Big Data analytics platform for public transportation information,2019,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['ALIC, ANDY S and', 'BRAZ, TARCISO and', 'BRITO, ANDREY and', 'ELIA, DONATELLO and', 'FIORE, SANDRO and', 'GUEDES, DORGIVAL and', 'LATTUADA, MARCO and', 'LEZZI, DANIELE and', 'MACIEL, MATHEUS and', 'MEIRA, WAGNER and', 'Mestre, Demetrio and', 'ALMEIDA, JUSSARA and', 'MORAES, REGINA and', 'MORAIS, FABIO and', 'PIRES, CARLOS EDUARDO and', 'KOZIEVITCH, NÁDIA P. and', 'SANTOS, WALTER DOS and', 'SILVA, PAULO and', 'VIEIRA, MARCO and', 'ALOISIO, GIOVANNI and', 'ANDRADE, NAZARENO and', 'ANTUNES, NUNO and', 'ARDAGNA, DANILO and', 'BADIA, ROSA M. and', 'BASSO, TANIA and', 'BLANQUER, IGNACIO and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1109/access.2019.2936941,An integrated big and fast data analytics platform for smart urban transportation management,2019,Inglês,IEEE Access,SEM_DADOS,SEM_DADOS,"['FIORE, SANDRO and', 'MORAES, REGINA and', 'BASSO, TANIA and', 'KOZIEVITCH, NADIA P. and', 'FONSECA, KEIKO V. O. and', 'ANTUNES, NUNO and', 'VIEIRA, MARCO and', 'PALAZZO, COSIMO and', 'BLANQUER, IGNACIO and', 'MEIRA, WAGNER and', 'ALOISIO, GIOVANNI and', 'ELIA, DONATELLO and', 'PIRES, CARLOS E. and', 'MESTRE, DEMETRIO G. and', 'CAPPIELLO, CINZIA and', 'VITALI, MONICA and', 'ANDRADE, NAZARENO and', 'BRAZ, TARCISO and', 'LEZZI, DANIELE and']"
LATTES,PERIODICO,4986021622366786,Carlos Eduardo Santos Pires,10.1111/coin.12268,Leveraging active learning to reduce human effort in the generation of ground-truth for entity resolution,2019,Inglês,Computational Intelligence (Online),SEM_DADOS,SEM_DADOS,"['ARAÚJO, DIEGO and', 'SANTOS PIRES, CARLOS EDUARDO and', 'CASSIMIRO NASCIMENTO, DIMAS and']"
