FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,A Internet e os novos modelos de negócios: Empresas Virtuais x Incubadora  Virtual,2000,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'FIOD NETO, M. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,A Internet e os novos modelos de negócios: Empresas Virtuais x Incubadora   Virtual,2000,Português,UNIPLAC (Lages),SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'FIOD NETO, M. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,A Internet como ferramenta de ensino: um estudo sobre seus recursos e como aplicá-los no Ensino a Distância,2001,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'ANTUNES, J. M. L. and', 'BET, S. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,M-Commerce aplicado ao comércio de materiais de construção,2001,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'CAMARGO, R. G. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,Clube Virtual de  Ciências,2002,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'BET, S. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,Mapeamento da cadeia de tecnologia da informação e comunicação da cidade de Lages,2008,Português,Revista do CCEI,SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'BRANCO, J. P. and', 'FELDHAUS, J. L. and', 'FILARDI, F. and', 'RAMOS, C. R. S. B. and', 'SILVA, C. DA and', 'KÜSTHER, E. A. and', 'RIBAS, M. A. and', 'RIBEIRO, E. S. and', 'KUSTER, J. I. DE M. and', 'ANDRADE, S. A. and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,SIPAVI - Sistema Inteligente para Análise de Viabilidade de Imóveis,2011,Português,Revista Eletrônica de Iniciação Científica,SEM_DADOS,SEM_DADOS,"['WIRTH, R. and', 'FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,Sistema Inteligente para Análise de Viabilidade de Imóveis,2010,Português,Cadernos Nabuco,SEM_DADOS,SEM_DADOS,"['WIRTH, R. and', 'FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,10.1111/tgis.12526,MASTER: A multiple aspect view on trajectories,2019,Inglês,Transactions in GIS,SEM_DADOS,SEM_DADOS,"['MELLO, RONALDO DOS SANTOS and', 'BOGORNY, VANIA and', 'ALVARES, LUIS OTAVIO and', 'SANTANA, LUIZ HENRIQUE ZAMBOM and', 'FERRERO, CARLOS ANDRES and', 'FROZZA, ANGELO AUGUSTO and', 'SCHREINER, GEOMAR ANDRE and', 'RENSO, CHIARA and']"
LATTES,PERIODICO,5878372087019892,Angelo Augusto Frozza,,Sistemas de Informação e a experiência adquirida em micro e pequenas indústrias: uma reflexão,2000,Português,UNIPLAC (Lages),SEM_DADOS,SEM_DADOS,"['FROZZA, A. A.;FROZZA, ANGELO AUGUSTO and', 'FIOD NETO, M. and', 'PEREIRA, V. L. V. and']"
