FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Avaliação das condições de manejo dos resíduos sólidos de serviços de saúde em um ambulatório,1998,Português,Revista do Hospital de Clínicas de Porto Alegre,SEM_DADOS,SEM_DADOS,"['MICHIELIN, T. L. and', 'MANDELLI, S. M. C. and', 'STÉDILLE, Nilva Lúcia Rech and', 'GASTALDELLO, Maria Eugênia Turra and', 'PESSIN, Neide and', 'CLAUS, S. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Análise da eficiência do processo via esterilização por vapor úmido e alto vácuo associado a microondas em um estabelecimento hospitalar,2001,Português,Gerenciamento Ambiental,SEM_DADOS,SEM_DADOS,"['ORLANDIN, Sandra Maria and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Tratamento de material de serviços de saúde,2001,Português,Saneamento Ambiental,SEM_DADOS,SEM_DADOS,"['ORLANDIN, Sandra Maria and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Melhorando a produtividade com o planejamento e o controle da produção,2006,Português,Plástico Industrial,SEM_DADOS,SEM_DADOS,"['PAVONI, Elóide Teresa and', 'HILLIG, Éverton and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Kestääkö sohva?,2006,Finlandês,Aurinkolaiva,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'PENTTINEN, Ilpo and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Avaliação dos impactos ambientais e econômicos nos sistemas de coleta seletiva e regular no Município de Bento Gonçalves,2006,Português,Revista Limpeza Pública,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'FINOTTI, Alexandra Rodrigues and', 'PANAROTTO, Cláudia Teixeira and', 'PERESIN, D. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,"Modelagem de misturas na fabricação de compósitos polímero- fibra, utilizando polietileno e serragem de Pinus sp.",2006,Português,Ciência Florestal (UFSM. Impresso),SEM_DADOS,SEM_DADOS,"['HILLIG, Éverton and', 'FREIRE, Estevão and', 'CARVALHO, Gláucio de Almeida and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'POCAI, Karla and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Gerenciamento Integrado de resíduos rurais e sua interface com a gestão ambiental: Panorama da situação na região de abrangência do COREDE Serra,2007,Português,Revista Limpeza Pública,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'FINOTTI, Alexandra Rodrigues and', ""SILVA, Mauricio D'agostini and"", 'CEMIN, Gisele and', 'PERESIN, D. and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,10.1590/S0103-65132009000200006,Geração de resíduos de madeira e derivados da indústria moveleira em função das variáveis de produção,2009,Inglês,Produção (São Paulo. Impresso),SEM_DADOS,SEM_DADOS,"['HILLIG, Éverton and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'Pavoni, Eloide Teresa and']"
LATTES,PERIODICO,9940289333509769,Vania Elisabete Schneider,,Análise comparativa dos custos ambientais relacionados ao gerenciamento dos RSS em dois horpitais da Região da Serra Gaúcha - Brasil,2008,Português,Revista AIDIS de Ingeniería y Ciencias Ambientales,SEM_DADOS,SEM_DADOS,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'BEN, Fernando and', 'CARVALHO, Aline Brum de and']"
