FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,A framework to process complex biodiversity queries,2008,Inglês,Proceedings of the 2008 ACM symposium on Applied computing,Ceara,2008,"['Jaudete Daltio and', 'Claudia B. Medeiros and', 'GOMES, L. and', 'Thomas Michael Lewinsohn and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Ecologically-aware Queries for Biodiversity Research,2007,Inglês,Proceedings of the IX Brazilian Symposium on Geoinformatics,Campos do Jordao,2007,"['GOMES, L. and', 'Claudia B. Medeiros and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Sensor Data Publication on the Web for Scientific Applications,2008,Português,"WEBIST 2008, Proceedings of the Fourth International Conference on Web Information Systems and Technologies","Madeira, Portugal",2008,"['Gilberto Zonta Pastorello Jr. and', 'GOMES, L. and', 'Claudia B. Medeiros and', 'André Santanchè and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Towards query model integration,2013,Inglês,Proceedings of the Joint EDBT/ICDT 2013 Workshops on - EDBT &amp;apos;13,Genoa,2013,"['GOMES-JR, LUIZ and', 'JENSEN, RODRIGO and', 'SANTANCHÈ, ANDRÉ and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Query-based inferences in the Complex Data Management System,2013,Inglês,Structured Learning: Inferring Graphs from Structured and Unstructured Inputs (SLG 2013),Atlanta,2013,"['GOMES, JR., LUIZ and', 'Rodrigo Jensen and', 'André Santanchè and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Beta-Algebra: Towards a Relational Algebra for Graph Analysis,2015,Inglês,Workshop Proceedings of the EDBT/ICDT 2015 Joint Conference,"Bruxelas, Bélgica",2015,"['GOMES-JR, L. and', 'AMANN, B. and', 'André Santanchè and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,RESUMO_EXPANDIDO,Querying and Managing Complex Data,2014,Inglês,Proceedings of ADBIS 2014,Ohrid,2014,"['GOMES-JR, L. and', 'André Santanchè and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Analyzing the Acoustic Urban Environment - A Geofencing-Centered Approach in the Curitiba Metropolitan Region,2016,Inglês,Anais do 5th International Conference on Smart Cities and Green ICT Systems,Roma,2016,"['KOZIEVITCH, N. P. and', 'GOMES-JR, L. and', 'GADDA, T. M. C. and', 'FONSECA, K. V. O. and', 'AKBAR, M. and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,Exploratory Analysis of Public Transportation Data in Curitiba,2016,Português,"XXXVI Anais do Congresso da Sociedade Brasileira de Computação, 2016",Porto Alegre,2016,"['KOZIEVITCH, N. P. and', 'GADDA, T. M. C. and', 'FONSECA, K. V. O. and', 'ROSA, M. O. and', 'GOMES-JR, L. and', 'AKBAR, M and']"
LATTES,TRAB.EVENTO,0370301102971417,Luiz Celso Gomes Junior,COMPLETO,ExplNet - Análise exploratória aplicada à redes complexas,2016,Português,Anais da XII Escola Regional de Banco de Dados,Londrina,2016,"['GOMES-JR, LUIZ and', 'KOZIEVITCH, N. P. and', 'SANTANCHE, A. and']"
