FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,AXIS: a Java implementation of a data exchange architecture among heterogeneous data sources using XML documents,2002,Inglês,NetObjectDays (NodE 2002),Erfurt,2002,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and', 'KROTH, E. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,AXIS: a data exchange architecture among heterogeneous data sources using XML documents,2002,Inglês,Simpósio Argentino de Ingeniería de Software (ASSE?2002),Santa Fe,2002,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'KELLER, M. and', 'KROTH, E. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Estudo e Fabricação de um carro-robô controlado por computador com características Lúdico Pedagógicas,1999,Português,"V Seminário de Iniciação Cientifica e IV Jornada de Ensino, Pesquisa e extensão da UNISC",Santa Cruz do Sul,1999,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Matching of XML Schemas and Relational Schemas,2004,Português,XIX Simposio Brasileiro de Banco de Dados (SBBD),Brasilia,2004,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,SAXES: A Software for Exchanging Data Between XML and Databases,2004,Português,XVII Simposio Brasileiro de Banco de Dados (SBBD),Brasilia,2004,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'KROTH, E. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Carla: Uma técnica para comparação de cadeias de caracteres,2005,Português,I Escola Regional de Banco de Dados (ERBD),Porto Alegre,2005,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Ferb: um framework para casamento de esquemas,2006,Português,II Escola Regional de Banco de Dados (ERBD),Passo Fundo,2006,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Data Translation Between Taxonomies,2006,Inglês,XVIII International Conference on Advanced Information Systems Engineering (CAISE),Luxembourg,2006,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Mesa: A Search Engine for Querying Web Tables,2008,Inglês,Simposio Brasileiro de Banco de Dados (SBBD),Campinas,2008,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'Juliana Freire and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Querying Structured Information Sources on the Web,2008,Inglês,The Tenth International Conference on Information Integration and Web-based Applications Services (iiWas),Linz,2008,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'Juliana Freire and', 'HEUSER, C. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Indexing relations on the web,2010,Português,Proceedings of the 13th International Conference on Extending Database Technology,International Conference on Ex,2010,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and', 'Juliana Freire and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Paralelização do algoritmo de ordenação Merge Sort In Place,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé/RS,2012,"['GARCIA, A. M. and', 'Márcia cera and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Extração de Dados na Web no Contexto de uma Rede Social de Consumo,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé/RS,2012,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'Holisson Soares da Cunha and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Extração de Informações Tabulares a partir de Listas HTML,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé/RS,2012,"['Juliano Rodovalho Macedo and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Extração de Relacionamentos a Partir de Sites da Wikipedia,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé/RS,2012,"['Thiago Cassio Krug and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Classificação de documentos do Exército Brasileiro utilizando técnicas de aprendizado de máquina,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé/RS,2012,"['Sander Pes Pivetta and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Simple Variable Length N-grams for Probabilistic Automata Learning,2012,Inglês,JMLR Workshop and Conference Proceedings,College Park,2012,"['Fábio Kepler and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'Cleo Billa and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Uma Proposta de Entity Ranking Baseada no Uso de Entidades como Objetos de Consulta,2013,Português,IX Escola Regional de Banco de Dados,Camboriú,2013,"['Thiago Cassio Krug and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Extração de Nomes de Pessoas Baseado em Etapas de Etiquetamento,2013,Português,IX Escola Regional de Banco de Dados,Camboriú,2013,"['BRUM, H. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Métodos Estatísticos para Segmentação de Listas Web,2013,Português,IX Escola Regional de Banco de Dados,Camboriú,2013,"['MARX, W. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Uma aplicação de Rede Social de Consumo Baseada em uma Arquitetura de Data Warehouse,2013,Português,IX Escola Regional de Banco de Dados,Camboriú,2013,"['CUNHA, H. S. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Classificação de documentos do Exército Brasileiro utilizando o algoritmo de Naive Bayes e técnicas de seleção de sentenças,2013,Português,IX Escola Regional de Banco de Dados,Camboriú,2013,"['Sander Pes Pivetta and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Uso de Aprendizado de Máquina para a Classificação de Documentos do Exército Brasileiro,2013,Português,IX Simpósio Brasileiro de Sistemas de Informação,João Pessoa,2013,"['Sander Pes Pivetta and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'KEPLER, F. N. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Using PDCA as a General Framework for Teaching and Evaluating the Learning of Software Engineering Disciplines,2013,Português,IX Simpósio Brasileiro de Sistemas de Informação,João Pessoa,2013,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'KEPLER, F. N. and', 'SILVA, J. P. S. and', 'Márcia cera and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Analisando Duas Técnicas de Paralelização em um Algoritmo Mergesort in-place,2013,Português,Anais do Workshop de Iniciação Científica (WSCAD-WIC 2013),Porto de Galinhas - PE,2013,"['GARCIA, A. M. and', 'Márcia cera and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'MORO, G. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Analisando o Desempenho da Paralelização no Algoritmo de Ordenação Mergesort Inplace,2013,Português,Anais da 13a. Escola Regional de Alto Desempenho do Estado do Rio Grande do Sul (ERAD-RS 2013),Porto Alegre - RS,2013,"['GARCIA, A. M. and', 'Márcia cera and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Analisando o Desempenho do Mergesort In-Place Paralelo em Duas Arquiteturas Multi-core,2014,Português,Anais da 14a. Escola Regional de Alto Desempenho do Estado do Rio Grande do Sul,Alegrete - RS,2014,"['MORO, G. and', 'GARCIA, A. M. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'Márcia cera and']"
