FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Portal Acadêmico Dinâmico e Colaborativo Utilizando a Web 2.0,2009,Português,VIII Feira de Protótipos,Joinville,2009,"['SILVEIRA, B. V. and', 'NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,BOCA-LAB: Corretor automático de código adaptado ao ensino de Linguagem de Programação,2010,Português,Computer on the Beach 2010: Anais / CTTMar/ UNIVALI,Florianópolis,2010,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'SOUZA, A. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Processo de Descoberta de Conhecimento em Base de Dados aplicado a Bolsa de Valores,2010,Português,Aplicações - Experiências,Joinville,2010,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'ALMEIDA, R. G. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,EdMaSe - Editor de Marcação Semântica de Dados na Web baseado em Ontologias,2010,Português,Aplicações - Experiências,Joinville,2010,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'BRANDES, T. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Portais corporativos como ferramenta de apoio a gestão do conhecimento nas empresas,2011,Português,XXII ENANGRAD - Teoria Geral da Administração (TGA),São Paulo,2011,"['TODESCO, J. L. and', 'AMBONI, N. and', 'NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'MULLER, I. R. F. and', 'SANTOS, M. I. A. S. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Mapeamento das Publicações Acadêmico-Científicas sobre Cloud Computing,2012,Português,Computer on the Beach 2012: Anais do Evento / CTTMar/ UNIVALI,Florianópolis,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'SILVA, P. F. and', 'DANTAS, M. A. R. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,The strategic use of information technology to support the knowledge management,2012,Português,9th CONTECSI,São Paulo,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'DANDOLINI, G. A. and', 'SOUZA, J. A. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,The acquisition process in knowledge engineering: extraction and elicitation techniques,2012,Português,9th CONTECSI,São Paulo,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'ROTTA, M. J. R. and', 'PACHECO, R. C. S. and', 'TODESCO, J. L. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,A utilização de Portais Semânticos como apoio à Gestão do Conhecimento das Organizações,2012,Português,2º CONEPRO-SUL,Joinville,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'SELL, D. and', 'GAUTHIER, F. A. O. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Utilização de técnicas da Engenharia do Conhecimento como apoio aos processos de Memória Organizacional,2012,Português,2º CONEPRO-SUL,Joinville,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'ROTTA, M. J. R. and', 'DANTAS, M. A. R. and']"
LATTES,TRAB.EVENTO,6905169880963398,Débora Cabral Nazário,COMPLETO,Representação de Conhecimento de Contexto e Qualidade de Contexto,2012,Português,JIISIC?12 - IX Jornadas Iberoamericanas de Ingeniería del Software e Ingeniería del Conocimiento,Lima,2012,"['NAZÁRIO, DÉBORA CABRAL;NAZARIO, DEBORA CABRAL and', 'DANTAS, M. A. R. and', 'TODESCO, J. L. and']"
