FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,RESUMO,PEC: Atividade Complementar de Ensino,2015,Português,30ª JAI,Santa Maria,2015,"['FULBER GARCIA, VINICIUS;GARCIA, VINICIUS FULBER;GARCIA, VINICIUS F.;GARCIA, V. F.;Garcia, Vinícius F.;Fulber-Garcia, Vinicius and', 'ZANCANARO, E. T. and', 'RODRIGUES, R. S. and', 'LIBRELOTTO, G. R. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,RESUMO,Seminários: Compartilhando Conhecimento,2015,Português,30ª JAI,Santa Maria,2015,"['FULBER GARCIA, VINICIUS;GARCIA, VINICIUS FULBER;GARCIA, VINICIUS F.;GARCIA, V. F.;Garcia, Vinícius F.;Fulber-Garcia, Vinicius and', 'CARDOSO, P. V. M. and', 'ZANCANARO, E. T. and', 'BACKES, G. C. and', 'RODRIGUES, R. S. and', 'REAL, L. S. and', 'LIBRELOTTO, G. R. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Compressão de Arquivos Orientados a Colunas com PPM,2016,Português,Data science,Londrina,2016,"['FULBER GARCIA, VINICIUS;GARCIA, VINICIUS FULBER;GARCIA, VINICIUS F.;GARCIA, V. F.;Garcia, Vinícius F.;Fulber-Garcia, Vinicius and', 'MERGEN, S. L. S. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Usando Tabelas de Dispersão com PPM,2016,Português,XVI Escola Regional de Alto Desempenho do Estado do Rio Grande do Sul,São Leopoldo,2016,"['FULBER GARCIA, VINICIUS;GARCIA, VINICIUS FULBER;GARCIA, VINICIUS F.;GARCIA, V. F.;Garcia, Vinícius F.;Fulber-Garcia, Vinicius and', 'MERGEN, S. L. S. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,RESUMO,Click-on-OSv: A platform for running Click-based middleboxes,2017,Português,2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM),Lisbon,2017,"['DA CRUZ MARCUZZO, LEONARDO and', 'GARCIA, VINICIUS F. and', 'CUNHA, VITOR and', 'CORUJO, DANIEL and', 'BARRACA, JOAO P. and', 'AGUIAR, RUI L. and', 'SCHAEFFER-FILHO, ALBERTO E. and', 'GRANVILLE, LISANDRO Z. and', 'DOS SANTOS, CARLOS R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Estudo de Caso: Análise do Método C4.5 na Predição do Papel de Jogadores de League of Legends,2017,Português,VIII EATI ? Encontro Anual de Tecnologia da Informação,Frederico Westphalen,2017,"['GAIARDO, G. F. and', 'LUCCA, L. P. and', 'SANTANA, B. S. and', 'DONATO, M. M. and', 'GARCIA, V. F. and', 'WINCK, A. T. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,FlowChecker: A TCP Flow Analytical Framework for Network Measurements,2017,Português,VIII EATI ? Encontro Anual de Tecnologia da Informação,Frederico Westphalen,2017,"['GARCIA, V. F. and', 'ROCHA, A. M. and', 'TAVARES, T. N. and', 'SILVA, N. C. B. and', 'MARCUZZO, L. C. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Estudo comparativo entre depuradores para SDN,2017,Português,15ª Escola Regional de Redes de Computadores,Santa Maria,2017,"['TAVARES, T. N. and', 'ROCHA, A. M. and', 'MARCUZZO, L. C. and', 'SILVA, N. C. B. and', 'GARCIA, V. F. and', 'SANTOS, C. R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,PyCOO: Uma API em Python para Plataforma Click-On-Osv,2017,Português,15ª Escola Regional de Redes de Computadores,Santa Maria,2017,"['GARCIA, V. F. and', 'TAVARES, T. N. and', 'MARCUZZO, L. C. and', 'BONDAN, L. and', 'FRANCO, M. F. and', 'SOUZA, G. V. and', 'SCHAEFFER-FILHO, A. E. and', 'SANTOS, C. R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,RESUMO,Flow-Checker: Um Framework Para Análise de Fluxos Utilizando Arquivos PCAP,2017,Português,Anais da 32ª Jornada Acadêmica Integrada,Santa Maria,2017,"['ROCHA, A. M. and', 'GARCIA, V. F. and', 'TAVARES, T. N. and', 'SILVA, N. C. B. and', 'MARCUZZO, L. C. and', 'LUCCA, L. P. and', 'SANTANA, B. S. and', 'SANTOS, C. R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,RESUMO,Teste de Depurador Para Redes Definidas por Software,2017,Português,Anais da 32ª Jornada Acadêmica Integrada,Santa Maria,2017,"['TAVARES, T. N. and', 'GARCIA, V. F. and', 'SILVA, N. C. B. and', 'ROCHA, A. M. and', 'MARCUZZO, L. C. and', 'LUCCA, L. P. and', 'SANTOS, C. R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Utilização de Classificadores Bayesianos para Predição de Afinidade Entre Personagens Literários,2017,Português,Anais do XIV Simpósio de Informática,Santa Maria,2017,"['SANTANA, B. S. and', 'GAIARDO, G. F. and', 'LUCCA, L. P. and', 'DONATO, M. M. and', 'TAVARES, T. N. and', 'GARCIA, V. F. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,JMP: Uma Solução para Definição de Topologias Mininet Utilizando JSON,2017,Português,Anais do XIV Simpósio em Informática,Santa Maria,2017,"['SANTANA, B. S. and', 'GAIARDO, G. F. and', 'MARCUZZO, L. C. and', 'LUCCA, L. P. and', 'TAVARES, T. N. and', 'GARCIA, V. F. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,SIMPsOn: Interface Squid para Gerenciamento de Perfis,2017,Português,Anais do XIV Simpósio de Informática,Santa Maria,2017,"['TAVARES, T. N. and', 'GARCIA, V. F. and', 'SANTANA, B. S. and', 'LUCCA, L. P. and', 'GAIARDO, G. F. and', 'DONATO, M. M. and', 'SILVA, N. C. B. and', 'ROCHA, A. M. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Mapeamento Sistemático: Ambientes Virtuais de Aprendizagem Ubíquos,2018,Português,Anais do 5º Seminário Nacional de Inclusão Digital,Passo Fundo,2018,"['GAIARDO, G. F. and', 'SANTANA, B. S. and', 'DONATO, M. M. and', 'LUCCA, L. P. and', 'GARCIA, V. F. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Simplificando o Gerenciamento do Ciclo de Vida de Funções Virtualizadas de Rede,2018,Português,Anais do XXIII Workshop de Gerência e Operação de Redes e Serviços (WGRS - SBRC 2018),Campos do Jordão,2018,"['SOUZA, G. V. and', 'DUARTE JUNIOR, E. P. and', 'GARCIA, V. F. and', 'MARCUZZO, L. C. and', 'TAVARES, T. N. and', 'FRANCO, M. F. and', 'BONDAN, L. and', 'SCHAEFFER-FILHO, A. E. and', 'SANTOS, C. R. P. and', 'GRANVILLE, L. Z. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Uma Abordagem Holística para a Definição de Service Chains Utilizando Click-on-OSv sobre Diferentes Plataformas NFV,2018,Português,Anais do Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),Campos do Jordão,2018,"['HUFF, A. and', 'SOUZA, G. V. and', 'MARCUZZO, L. C. and', 'GARCIA, VINICIUS F. and', 'DOS SANTOS, CARLOS R. P. and', 'DUARTE JUNIOR, E. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,Uma Solução para Mitigação de Ataques DDoS Através de Tecnologia NFV,2018,Português,Anais do Anais do Workshop de Segurança Cibernética em Dispositivos Conectados (WSCDC - SBRC 2018),Campos do Jordão,2018,"['GARCIA, V. F. and', 'GAIARDO, G. F. and', 'MARCUZZO, L. C. and', 'TAVARES, T. N. and', 'SILVA, N. C. B. and', 'ROCHA, A. M. and', 'NUNES, R. C. and', 'SANTOS, C. R. P. and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,DeMONS: A DDoS Mitigation NFV Solution,2018,Português,2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),Krakow,2018,"['FULBER GARCIA, VINICIUS and', 'DE FREITAS GAIARDO, GUILHERME and', 'DA CRUZ MARCUZZO, LEONARDO and', 'CERETTA NUNES, RAUL and', 'PAULA DOS SANTOS, CARLOS RANIERY and']"
LATTES,TRAB.EVENTO,9564405566367158,Vinícius Fülber Garcia,COMPLETO,NIEP: NFV Infrastructure Emulation Platform,2018,Português,2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),Krakow,2018,"['TAVARES, THALES NICOLAI and', 'RANIERY PAULA DOS SANTOS, CARLOS and', 'SCHAEFFER-FILHO, ALBERTO EGON and', 'DA CRUZ MARCUZZO, LEONARDO and', 'FULBER GARCIA, VINICIUS and', 'VENANCIO DE SOUZA, GIOVANNI and', 'FIGUEREDO FRANCO, MURIEL and', 'BONDAN, LUCAS and', 'DE TURCK, FILIP and', 'GRANVILLE, LISANDRO ZAMBENEDETTI and', 'PROCOPIO DUARTE JUNIOR, ELIAS and']"
