FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,Implantação do Horto Florestal da Universidade de Caxias do Sul,1989,Português,Anais da Semana Universitária Gaúcha de Debates biológicos,Porto Alegre,1989,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'CARMINATTI, A. F. and', 'RUFFATTO, R. and', 'GEMIN, S. A. and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,Contribuição ao estudo da espécie Eugenia uniflora L.,1989,Português,Anais da Semana Universitária Gaúcha de Debates biológicos,Porto Alegre,1989,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'LONGHI, Rubens Alberto and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,"Testagem dos substratos utilizados no Horto Florestal da Universidade de Caxias do Sul com as espécies Uva-do-Japão, Cedro e Arroeira-piriquita",1991,Português,Resumos do II Congresso Brasileiro de Fisiologia Vegetal,Viçosa,1991,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'RUFFATTO, R. and', 'GEMIN, S. A. and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,"Testagem do composto orgânico de lixo utilizando-se as espécies cereja-do-mato, Cinamomo gigante-variedade sempervirens e Uva-do-Japão",1991,Português,,Viçosa,1991,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'RUFFATTO, R. and', 'GEMIN, S. A. and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,"Testagem dos substratos utilizados no Horto Florestal da Universidade de Caxias do Sul com as espécies Uva-do-Japão, Cedro e Arroeira-piriquita",1992,Português,Anais do 7 Congresso Florestal Estadual,Nova Prata,1992,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'CARMINATTI, A. F. and', 'RUFFATTO, R. and', 'GEMIN, S. A. and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,"Testagem do composto orgânico de lixo utilizando-se as espécies Cereja-do-mato, Cinamomo-gigante variedade sempervirens e uva do Japão",1992,Português,,Nova Prata,1992,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'RUFFATTO, R. and', 'GEMIN, S. A. and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,Efeito da poda de raiz no crescimento e desenvolvimento de espécies úteis à arborização urbana,1992,Português,Anais do 7 Congresso Florestal Estadual,Nova Prata,1992,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'RUFFATTO, R. and', 'FAMIGLIETTI, Andréa and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,"Efeito da utilização de brometo de metila na germinação, crescimento e desenvolvimento de espécies frutíferas nativas",1992,Português,Anais do 7 Congresso Florestal Estadual,Nova Prata,1992,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'LONGHI, Rubens Alberto and', 'CARMINATTI, A. F. and', 'SEGER, Léo and', 'SARTORI, Valdirene and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,Contribuição ao estudo da germinação da espécie frutífera nativa Pitanga (Eugenua uniflora L.),1992,Português,,Nova Prata,1992,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'LONGHI, Rubens Alberto and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,"Influência do tamanho da embalagem na produção de mudas de cereja-do-mato, guabiroba e pitanga",1992,Português,,Nova Prata,1992,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'SARTORI, Valdirene and', 'LONGHI, Rubens Alberto and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,RESUMO,"Influência da repicagem na produção de mudas de pitanga, cereja-do-mato e guabiju",1992,Português,Anais do 7 Congresso Florestal Estadual,Nova Prata,1992,"['CARMINATTI, A. F. and', 'SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and', 'VIANA, Marcos Antonio and']"
LATTES,TRAB.EVENTO,9940289333509769,Vania Elisabete Schneider,COMPLETO,Arborização Urbana X Educação Ambiental,1992,Português,,Nova Prata,1992,"['SCHNEIDER, V. E.;Schneider, Vania Elisabete;Vânia Schneider;SCHNEIDER, V.;Vania Elisabete Schneider;ELISABETE SCHNEIDER, VANIA;SCHNEIDER, V.E.;SCHNEIDER, VANIA;SCHNEIDER, V E;Vania Eliasabete Schneider and']"
