evento journal,cluster id,confidence
(des) caminhos na comunicacao organizacional: ensaios e pesquisas do grupo de estudo em comunicacao organizacional,494,1.0
(re) leituras contemporaneas sobre comunicacao organizacional e relacoes publicas,495,1.0
10 th brazilian power electronics conference,0,0.43445712327957153
10 th induscon 2012,1,0.4945310950279236
10 th induscon 2012,1,0.4945310950279236
10a erbd - escola regional de banco de dados,496,1.0
10a reuniao da comissao de trigo e triticale,497,1.0
10o congresso brasileiro de engenharia de fabricacao,498,1.0
10o simposio internacional de qualidade ambiental,2,0.4945310950279236
10o simposio internacional de qualidade ambiental,2,0.4945310950279236
10th brazilian power electronics conference,0,0.43445712327957153
10th contecsi,499,1.0
10th european conference on games based learning - ecgbl,500,1.0
10th international conference on enterprise information systems (iceis),501,1.0
10th international workshop on web semantics (webs11),502,1.0
11o simposio de hidraulica e recursos hidricos dos paises de lingua portuguesa vii congresso sobre planeamento e gestao das zonas costeiras dos paises de expressao portuguesa,3,0.47947245836257935
11o simposio de hidraulica e recursos hidricos dos paises de lingua portuguesa/ vii congresso sobre planeamento e gestao das zonas costeiras dos paises de expressao portuguesa,3,0.47947245836257935
11th contecsi,503,1.0
11th international conference on internet and web applications and services,504,1.0
12th contecsi,505,1.0
"12th international congress of the brazilian geophysical society ampamp expogef, rio de janeiro, brazil, 15amp4518 august 2011",506,1.0
"13o mostra de pesquisa, ensino e extensao do ifrs campus porto alegre",507,1.0
13th active learning in engineering education workshop,4,0.49453108255427447
13th active learning in engineering education workshop,4,0.49453108255427447
13th active learning in engineering education workshop,4,0.49453108255427447
13th active learning in engineering education workshop,4,0.49453108255427447
13th active learning in engineering education workshop,4,0.49453108255427447
13th brazilian power electronics conference and 1o spec,508,1.0
13th edition of the international conference on the computational processing of portuguese (propor 2018),509,1.0
14th contecsi,5,0.4945310950279236
14th contecsi,5,0.4945310950279236
14th international conference on www/internet (icwi 2015),510,1.0
15 enfsul - encontro de enfermagem da regiao sul,511,1.0
15a escola regional de redes de computadores,6,0.4945310950279236
15a escola regional de redes de computadores,6,0.4945310950279236
15th contecsi,512,1.0
15th international conference on information integration and web-based applications amp services (iiwas2013),513,1.0
16th east-european conference on advances in databases and information systems (adbis 2012),514,1.0
19o evento de iniciacao cientifica - evinci,515,1.0
1st international syposium on residue management in universities,516,1.0
2009 congress on services - i,517,1.0
"2011 12th international conference on parallel and distributed computing, applications and technologies",7,0.4945310950279236
"2011 12th international conference on parallel and distributed computing, applications and technologies",7,0.4945310950279236
2011 ieee 4th international conference on cloud computing,518,1.0
2011 ieee international conference on information reuse ampamp integration,519,1.0
2012 ieee 8th international conference on e-science,520,1.0
2012 ieee seventh international conference on global software engineering workshops,521,1.0
"2012 sc companion: high performance computing, networking storage and analysis",522,1.0
2013 2nd workshop-school on theoretical computer science,523,1.0
2013 brics congress on computational intelligence and 11th brazilian congress on computational intelligence,524,1.0
2013 fourth international conference on emerging intelligent data and web technologies,525,1.0
2013 ieee frontiers in education conference,526,1.0
2013 ieee international conference on big data,527,1.0
2013 ieee international symposium on multimedia,528,1.0
2013 ieee symposium on computers and communications (iscc),8,0.4945310950279236
2013 ieee symposium on computers and communications (iscc),8,0.4945310950279236
2013 ieee/acm 6th international conference on utility and cloud computing,529,1.0
2013 ieee/wic/acm international joint conferences on web intelligence (wi) and intelligent agent technologies (iat),530,1.0
2013 workshops on enabling technologies: infrastructure for collaborative enterprises,531,1.0
2014 brazilian symposium on computer games and digital entertainment,532,1.0
2014 ieee 10th international conference on e-science,533,1.0
"2014 ieee 16th international conference on e-health networking, applications and services (healthcom)",534,1.0
2014 ieee 3nd international conference on serious games and applications for health (segah),535,1.0
2014 ieee international conference on cluster computing (cluster),536,1.0
2014 ieee international parallel ampamp distributed processing symposium workshops,537,1.0
"2014 international conference on advances in databases, knowledge, and data applications",538,1.0
2014 international symposium on computer architecture and high performance computing workshop,539,1.0
2015 29th brazilian symposium on software engineering,540,1.0
2015 ieee 11th international conference on e-science,541,1.0
2015 ieee 24th international conference on enabling technologies: infrastructure for collaborative enterprises,542,1.0
2015 ieee international conference on fuzzy systems (fuzz-ieee),543,1.0
2015 ieee symposium on computers and communication (iscc),544,1.0
2015 latin america congress on computational intelligence (la-cci),545,1.0
"2015 ninth international conference on complex, intelligent, and software intensive systems",546,1.0
2016 30th international conference on advanced information networking and applications workshops (waina),547,1.0
2016 5th brazilian conference on intelligent systems (bracis),9,0.49453108255427447
2016 5th brazilian conference on intelligent systems (bracis),9,0.49453108255427447
2016 5th brazilian conference on intelligent systems (bracis),9,0.49453108255427447
2016 ieee 19th international conference on intelligent transportation systems (itsc),10,0.49453108255427447
2016 ieee 19th international conference on intelligent transportation systems (itsc),10,0.49453108255427447
2016 ieee 19th international conference on intelligent transportation systems (itsc),10,0.49453108255427447
2016 ieee 25th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),11,0.49453108255427447
2016 ieee 25th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),11,0.49453108255427447
2016 ieee 25th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),11,0.49453108255427447
2016 ieee international conference on automatica (ica-acca),548,1.0
2016 ieee international conference on cloud computing technology and science (cloudcom),549,1.0
2016 ieee international conference on fuzzy systems (fuzz-ieee),550,1.0
"2017 ieee 14th international conference on networking, sensing and control (icnsc)",551,1.0
2017 ieee 26th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),12,0.49453108255427447
2017 ieee 26th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),12,0.49453108255427447
2017 ieee international conference on big data (big data),13,0.49453108255427447
2017 ieee international conference on big data (big data),13,0.49453108255427447
2017 ieee international conference on fuzzy systems (fuzz-ieee),14,0.49453108255427447
2017 ieee international conference on fuzzy systems (fuzz-ieee),14,0.49453108255427447
"2017 ieee international conference on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata)",552,1.0
2017 ieee symposium on computers and communications (iscc),553,1.0
2017 ifip/ieee symposium on integrated network and service management (im),554,1.0
2017 joint 17th world congress of international fuzzy systems association and 9th international conference on soft computing and intelligent systems (ifsa-scis),555,1.0
2018 44th euromicro conference on software engineering and advanced applications (seaa),556,1.0
2018 ieee 17th international symposium on network computing and applications (nca),15,0.4945310950279236
2018 ieee 17th international symposium on network computing and applications (nca),15,0.4945310950279236
2018 ieee 32nd international conference on advanced information networking and applications (aina),16,0.49453108255427447
2018 ieee 32nd international conference on advanced information networking and applications (aina),16,0.49453108255427447
2018 ieee 32nd international conference on advanced information networking and applications (aina),16,0.49453108255427447
2018 ieee 32nd international conference on advanced information networking and applications (aina),16,0.49453108255427447
2018 ieee congress on evolutionary computation (cec),557,1.0
2018 ieee global communications conference (globecom),558,1.0
2018 ieee international conference on communications (icc),17,0.49453108255427447
2018 ieee international conference on communications (icc),17,0.49453108255427447
2018 ieee international conference on information reuse and integration (iri),559,1.0
2018 ieee international conference on intelligence and security informatics (isi),560,1.0
"2018 ieee international conference on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata)",561,1.0
2018 ieee international smart cities conference (isc2),18,0.49453108255427447
2018 ieee international smart cities conference (isc2),18,0.49453108255427447
2018 ieee symposium on computers and communications (iscc),19,0.49453108255427447
2018 ieee symposium on computers and communications (iscc),19,0.49453108255427447
2018 ieee symposium on computers and communications (iscc),19,0.49453108255427447
2018 ieee symposium on computers and communications (iscc),19,0.49453108255427447
2018 ieee symposium on computers and communications (iscc),19,0.49453108255427447
2018 ieee/acm international conference on utility and cloud computing companion (ucc companion),562,1.0
2018 ieee/acm workflows in support of large-scale science (works),563,1.0
2018 international joint conference on neural networks (ijcnn),564,1.0
2018 symposium on high performance computing systems (wscad),20,0.49453108255427447
2018 symposium on high performance computing systems (wscad),20,0.49453108255427447
2018 symposium on high performance computing systems (wscad),20,0.49453108255427447
"2019 19th ieee/acm international symposium on cluster, cloud and grid computing (ccgrid)",565,1.0
2019 conference proceedings,566,1.0
2019 ieee 20th international conference on information reuse and integration for data science (iri),567,1.0
2019 ieee 28th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),21,0.49453108255427447
2019 ieee 28th international conference on enabling technologies: infrastructure for collaborative enterprises (wetice),21,0.49453108255427447
2019 ieee 31st international conference on tools with artificial intelligence (ictai),568,1.0
2019 ieee 32nd international symposium on computer-based medical systems (cbms),569,1.0
2019 ieee global communications conference (globecom),570,1.0
2019 ieee international parallel and distributed processing symposium workshops (ipdpsw),22,0.49453108255427447
2019 ieee international parallel and distributed processing symposium workshops (ipdpsw),22,0.49453108255427447
2019 ieee international parallel and distributed processing symposium workshops (ipdpsw),22,0.49453108255427447
2019 ieee symposium on computers and communications (iscc),571,1.0
2019 ieee/acs 16th international conference on computer systems and applications (aiccsa),572,1.0
2019: anais do xlvi seminario integrado de software e hardware,573,1.0
20a workshop de informatica na escola (wie 2014),574,1.0
20o congresso brasileiro de automatica,575,1.0
20o simposio brasileiro de banco de dados,576,1.0
20th ieee international workshops on enabling technologies: infrastructure for collaborative enterprises (wetice),577,1.0
20th international congress of mechanical engineering,578,1.0
21st european conference on information systems,579,1.0
21st ieee symposium on computers and communications,580,1.0
21st international conference on software engineering amp knowledge engineering,581,1.0
22 simposio brasileiro de informatica na educacao,582,1.0
22nd international conference on database and expert systems applications (dexa11),583,1.0
22o congresso brasileiro de engenharia sanitaria e ambiental - resumo dos trabalhos tecnicos,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental - resumo dos trabalhos tecnicos,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental - resumo dos trabalhos tecnicos,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental - resumo dos trabalhos tecnicos,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental. cd rom,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental. cd rom,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental. cd rom,23,0.40159482178828465
22o congresso brasileiro de engenharia sanitaria e ambiental. cd rom,23,0.40159482178828465
22o workshop de informatica na escola (wie 2016),584,1.0
23a jornada academica integrada,585,1.0
23o congresso brasileiro de engenharia sanitaria e ambiental - cd-rom,586,1.0
23rd ieee international symposium on industrial electronics,587,1.0
24th isie,24,0.4945310950279236
24th isie,24,0.4945310950279236
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25 congresso brasileiro de engenharia sanitaria e ambiental,25,0.49453108255427447
25a jornada academica integrada,588,1.0
26a jai,26,0.49453108255427447
26a jai,26,0.49453108255427447
26a jai,26,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
26o congresso brasileiro de engenharia sanitaria e ambiental,27,0.49453108255427447
"26th international conference on database and expert systems applications (dexa) 2015, valencia, spain, september 1-4, 2015",589,1.0
27 sic udesc,590,1.0
27a jai,28,0.49453108255427447
27a jai,28,0.49453108255427447
27a jai,28,0.49453108255427447
27a jai,28,0.49453108255427447
27a jai,28,0.49453108255427447
27a jai,28,0.49453108255427447
27th international joint conference on artificial intelligence and the 23rd european conference on artificial intelligence,591,1.0
28 sic udesc,592,1.0
28a jai,29,0.4945310950279236
28a jai,29,0.4945310950279236
28o jai,593,1.0
28th annual conference of ieee industrial electronics society,30,0.4945310950279236
28th annual conference of ieee industrial electronics society,30,0.4945310950279236
28th brazilian symposium on databases - short papers proceedings,594,1.0
28th brazilian symposium on databases - thesis and dissertation workshop (wtdbd) proceedings,595,1.0
28th ieee international symposium on computer-based medical systems,596,1.0
29 sic udesc,597,1.0
29a jai,31,0.49453108255427447
29a jai,31,0.49453108255427447
29a jai,31,0.49453108255427447
29a jai,31,0.49453108255427447
29a jai,31,0.49453108255427447
29o seminario de extensao universitaria da regiao sul,598,1.0
2a seac - vencendo a crise com o conhecimento,599,1.0
2nd international conference on data management in grid and p2p systems,600,1.0
2nd international syposium on residue management in universities - book of abstracts,601,1.0
2nd workshop on human language technologies for iberian languages (ibereval2017),602,1.0
2nd workshop on many-task computing on grids and supercomputers,603,1.0
2o conepro-sul,32,0.4945310950279236
2o conepro-sul,32,0.4945310950279236
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o congresso internacional de tecnologias para o meio ambiente,33,0.49453108255427447
2o forum extensao conta,604,1.0
2o simposio brasileiro de engenharia ambiental - livro de resumos,34,0.4945310950279236
2o simposio brasileiro de engenharia ambiental - livro de resumos,34,0.4945310950279236
30a jai,35,0.4945310950279236
30a jai,35,0.4945310950279236
30th ieee international symposium on computer-based medical systems,605,1.0
32o congresso nacional de matematica aplicada e computacional,606,1.0
33a jai,36,0.49453108255427447
33a jai,36,0.49453108255427447
33a jai,36,0.49453108255427447
33a jai,36,0.49453108255427447
"33rd annual brazilian symposium on databases, sbbd 2018, rio de janeiro, rj, brazil, august 25-26, 2018",37,0.49453108255427447
"33rd annual brazilian symposium on databases, sbbd 2018, rio de janeiro, rj, brazil, august 25-26, 2018",37,0.49453108255427447
33rd annual brazilian symposium on databases: proceeedings companion,607,1.0
"33rd annual ieee power electronics specialists conference (pesc 02),",608,1.0
34a jai,38,0.49453108255427447
34a jai,38,0.49453108255427447
34a jai,38,0.49453108255427447
34a jai,38,0.49453108255427447
34a jai,38,0.49453108255427447
34a jai,38,0.49453108255427447
34th acm symposium on applied computing,609,1.0
"35eme conference sur la gestion de donnees principes, technologies et applications",610,1.0
35th iecon,611,1.0
35th international conference of the chilean computer science society,39,0.4945310950279236
35th international conference of the chilean computer science society,39,0.4945310950279236
37 thpower electronics specialist conference,612,1.0
"37th conference of the north american fuzzy information processing society, nafips 2018, fortaleza, brazil, july 4-6, 2018, proceedings editors",613,1.0
38th iecon 2012,40,0.4945310950279236
38th iecon 2012,40,0.4945310950279236
39thpower electronics specialists conference,614,1.0
3a conferencia iberica de sistemas y tecnologias de la informacion,615,1.0
3o congresso de iniciacao cientifica e tecnologica do ifsp,616,1.0
3o congresso nacional de iniciacao cientifica,41,0.48071699408613244
3o congresso nacional de iniciacao cientifica - conic,41,0.48071699408613244
3o encontro nacional da rede alfredo de carvalho,617,1.0
3rd icts4ehealth - iscc,618,1.0
3rd workshop on ontologies and metamodels in software and data engineering,42,0.4945310950279236
3rd workshop on ontologies and metamodels in software and data engineering,42,0.4945310950279236
"41o congresso brasileiro de ciencias da comunicacao:desigualdade, genero e comunicacao",619,1.0
41th annual frontiers in education,620,1.0
44th annual conference of the ieee industrial electronics society,621,1.0
47th annual simulation symposium 2014 (anss 2014),622,1.0
4th bcs-irsg symposium on future directions in information access,623,1.0
